STANDARD,1,0,3.17,0.182543
KC,1,0,1.21,0.0500126
STANDARD,1,20,3.05,0.176698
KC,1,20,1.3,0.0524388
STANDARD,1,40,2.96,0.186353
KC,1,40,1.17,0.0553004
STANDARD,1,60,2.97,0.174555
KC,1,60,1.22,0.054959
STANDARD,1,80,2.92,0.164701
KC,1,80,1.22,0.0511837
STANDARD,1,100,3.01,0.354063
KC,1,100,1.19,0.0497907
STANDARD,21,0,5.89,1.30932
KC,21,0,1.21,2.46005
STANDARD,21,20,5.78,1.94263
KC,21,20,1.21,2.56148
STANDARD,21,40,5.34,1.16673
KC,21,40,1.21,2.24311
STANDARD,21,60,5.26,1.09635
KC,21,60,1.26,2.50115
STANDARD,21,80,5.58,1.13524
KC,21,80,1.22,2.63859
STANDARD,21,100,5.72,1.34149
KC,21,100,1.24,1.96523
STANDARD,41,0,6.6,4.35174
KC,41,0,1.09,6.10587
STANDARD,41,20,7.62,7.44053
KC,41,20,1.17,6.32875
STANDARD,41,40,6.6,4.42444
KC,41,40,1.1,6.03043
STANDARD,41,60,7.42,11.774
KC,41,60,1.19,6.1199
STANDARD,41,80,7.96,6.74863
KC,41,80,1.17,6.1313
STANDARD,41,100,7.37,10.3198
KC,41,100,1.09,4.73622
STANDARD,61,0,8.39,13.4473
KC,61,0,1.09,14.8665
STANDARD,61,20,8.12,10.1432
KC,61,20,1.08,14.9964
STANDARD,61,40,7.73,4.94263
KC,61,40,1.05,15.2242
STANDARD,61,60,6.58,4.95685
KC,61,60,1.08,16.2523
STANDARD,61,80,6.53,7.62497
KC,61,80,1.07,18.7565
STANDARD,61,100,6.86,4.17579
KC,61,100,1.06,12.8342
STANDARD,81,0,7.87,7.39271
KC,81,0,1.06,32.1198
STANDARD,81,20,6.81,8.29224
KC,81,20,1.05,35.1905
STANDARD,81,40,7.52,6.38762
KC,81,40,1.05,29.5799
STANDARD,81,60,7.55,7.27863
KC,81,60,1.02,28.1299
STANDARD,81,80,7.28,7.15878
KC,81,80,1.04,29.9926
STANDARD,81,100,7.37,7.84939
KC,81,100,1.04,21.3706
