Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_1.txt,1,0,0.102262,0.001034,0.00748,0.000217,0.012599,0.031705
toy_instances/toy_instance_1.txt,1,20,0.037322,0.000605,0.006044,0.000256,0.011376,0.04191
toy_instances/toy_instance_1.txt,1,40,0.023085,0.000507,0.00774,0.000486,0.006361,0.021599
toy_instances/toy_instance_1.txt,1,60,0.039022,0.000588,0.011817,0.000398,0.011063,0.043528
toy_instances/toy_instance_1.txt,1,80,0.009991,0.000303,0.006833,0.000282,0.005026,0.023088
toy_instances/toy_instance_1.txt,1,100,0.009375,0.000303,0.006715,0.000254,0.005352,0.021398
toy_instances/toy_instance_1.txt,11,0,0.011802,0.003924,0.07837,0.003976,0.012336,0.048997
toy_instances/toy_instance_1.txt,11,20,0.619209,0.079378,0.033176,0.003976,0.014209,0.029073
toy_instances/toy_instance_1.txt,11,40,0.215443,0.018938,0.026549,0.003659,0.014866,0.028977
toy_instances/toy_instance_1.txt,11,60,0.034904,0.00789,0.058653,0.003737,0.014148,0.041325
toy_instances/toy_instance_1.txt,11,80,1.1903,0.05845,0.111089,0.013345,0.09734,0.184289
toy_instances/toy_instance_1.txt,11,100,0.861853,0.066856,0.020889,0.003629,0.010305,0.031822
toy_instances/toy_instance_1.txt,21,0,0.342702,0.070136,0.08704,0.014428,0.02341,0.04374
toy_instances/toy_instance_1.txt,21,20,0.095619,0.043883,0.137884,0.012486,0.019667,0.037674
toy_instances/toy_instance_1.txt,21,40,0.023439,0.023682,0.164308,0.01041,0.01028,0.022365
toy_instances/toy_instance_1.txt,21,60,0.019838,0.020137,0.114964,0.009572,0.017231,0.037306
toy_instances/toy_instance_1.txt,21,80,0.02212,0.020291,0.106809,0.011553,0.014559,0.031922
toy_instances/toy_instance_1.txt,21,100,0.074157,0.038092,0.100747,0.012036,0.02134,0.040285
toy_instances/toy_instance_1.txt,31,0,0.026684,0.046423,0.203239,0.025981,0.029466,0.076393
toy_instances/toy_instance_1.txt,31,20,1.06763,0.319605,0.110728,0.047009,0.048239,0.095631
toy_instances/toy_instance_1.txt,31,40,0.00884,0.028296,0.344159,0.027271,0.023449,0.051067
toy_instances/toy_instance_1.txt,31,60,0.709305,0.240843,0.169379,0.022241,0.022446,0.061575
toy_instances/toy_instance_1.txt,31,80,0.025478,0.044934,0.320835,0.023701,0.031797,0.052753
toy_instances/toy_instance_1.txt,31,100,0.327584,0.149337,0.138012,0.027879,0.02357,0.040448
