Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,0.018327,0.000228,0.005146,0.000374,0.005612,0.000213,0.005725,0.000368
1,100,1,0.017148,0.000252,0.003712,0.000252,0.003992,0.000101,0.003644,0.000322
1,100,1,0.029278,0.000508,0.007413,0.000599,0.008384,0.000304,0.011663,0.000647
1,100,1,0.012307,0.000224,0.004878,0.000345,0.00455,0.000205,0.004449,0.000345
1,100,1,0.00589,0.000174,0.002289,0.000207,0.002564,0.000196,0.002949,0.000194
1,100,1,0.011878,0.000235,0.004655,0.000368,0.004744,0.000366,0.004555,0.000318
1,100,1,0.006216,0.000195,0.003125,0.000218,0.002989,0.000141,0.002451,0.000214
1,100,1,0.024107,0.000367,0.006197,0.000452,0.006266,0.00027,0.005821,0.000463
1,100,1,0.02376,0.000295,0.006304,0.000557,0.007082,0.000399,0.006337,0.000448
1,100,1,0.020736,0.000235,0.007139,0.000517,0.006733,0.000303,0.006778,0.000509
1,100,1,0.011089,0.00032,0.003215,0.000226,0.002646,0.00011,0.0025,0.00029
1,100,1,0.011284,0.000252,0.00405,0.00035,0.004705,0.000236,0.004917,0.000325
1,100,1,0.022441,0.000339,0.007482,0.000601,0.007305,0.000405,0.00735,0.000458
1,100,1,0.012413,0.000315,0.003097,0.000218,0.00314,0.000199,0.002494,0.000232
1,100,1,0.006273,0.000137,0.002868,0.000301,0.003117,9.6e-05,0.002447,0.000231
1,100,1,0.02248,0.000322,0.007554,0.00057,0.007143,0.000446,0.007132,0.000505
1,100,1,0.012389,0.000242,0.004183,0.000326,0.004397,0.000188,0.00395,0.000244
1,100,1,0.006117,0.000183,0.003127,0.000332,0.003925,0.000165,0.003235,0.000354
1,100,1,0.013765,0.000286,0.003695,0.000339,0.002932,0.000194,0.003547,0.000235
1,100,1,0.013191,0.000293,0.006496,0.000417,0.005398,0.0004,0.004479,0.000475
1,100,1,0.006179,0.000198,0.003368,0.000324,0.002158,0.000159,0.00298,0.00025
1,100,1,0.014684,0.000298,0.005959,0.000457,0.005845,0.000275,0.005068,0.000606
1,100,1,0.007301,0.000151,0.002847,0.000285,0.003469,0.000208,0.003161,0.000306
1,100,1,0.027118,0.000402,0.010767,0.00055,0.009979,0.000348,0.010346,0.000524
1,100,1,0.015819,0.00034,0.003825,0.00039,0.00391,0.000196,0.003099,0.000329
1,100,1,0.015881,0.00024,0.006091,0.000488,0.00665,0.000244,0.004035,0.000383
1,100,1,0.017355,0.000386,0.004441,0.000378,0.004492,0.000173,0.002404,0.000162
1,100,1,0.024942,0.000372,0.006525,0.000451,0.006294,0.000244,0.006085,0.000412
1,100,1,0.012544,0.000203,0.004662,0.000419,0.003885,0.000162,0.004607,0.000373
1,100,1,0.012154,0.000182,0.004659,0.000355,0.004722,0.000278,0.003794,0.000362
1,100,1,0.005274,0.000144,0.002601,0.000254,0.002801,0.000111,0.002378,0.000153
1,100,1,0.005287,0.00012,0.002804,0.000182,0.003093,9.8e-05,0.002962,0.000252
1,100,1,0.024414,0.000359,0.008507,0.000561,0.008789,0.000449,0.008239,0.000484
1,100,1,0.021578,0.000385,0.008208,0.000437,0.008306,0.000377,0.007791,0.000357
1,100,1,0.005722,0.000136,0.002533,0.000257,0.002622,0.000216,0.002296,0.000176
1,100,1,0.013114,0.000263,0.002371,0.000225,0.00224,0.000149,0.002944,0.00022
1,100,1,0.021046,0.000404,0.008415,0.000582,0.00812,0.000284,0.006888,0.000582
1,100,1,0.005768,0.000115,0.003027,0.000202,0.002583,0.000181,0.002812,0.000226
1,100,1,0.022225,0.000335,0.006938,0.000489,0.007238,0.000358,0.006945,0.000505
1,100,1,0.012678,0.000267,0.002379,0.000188,0.002444,0.00019,0.003749,0.000221
1,100,1,0.005851,0.000129,0.002865,0.000275,0.002493,0.000215,0.003122,0.000207
1,100,1,0.005837,0.000126,0.002824,0.000191,0.002267,0.00011,0.002904,0.000302
1,100,1,0.005664,0.000192,0.0028,0.000301,0.002717,0.000109,0.002815,0.000206
1,100,1,0.006021,0.000233,0.002905,0.0002,0.002289,0.000116,0.00283,0.00023
1,100,1,0.012079,0.000259,0.002679,0.000208,0.002953,0.000167,0.002681,0.000192
1,100,1,0.005734,0.000127,0.002283,0.000203,0.002599,0.000118,0.002856,0.000291
1,100,1,0.012494,0.00032,0.003047,0.000203,0.003406,0.000152,0.002464,0.000147
1,100,1,0.012108,0.00024,0.003513,0.0002,0.002347,0.000115,0.002852,0.000212
1,100,1,0.006384,0.000214,0.002837,0.000299,0.002125,0.000109,0.00212,0.000238
1,100,1,0.012811,0.00039,0.004651,0.000379,0.005323,0.000258,0.00476,0.000299
11,100,1,0.272229,0.012877,0.006076,0.002076,0.004835,0.002391,0.005854,0.001837
11,100,1,0.036135,0.004713,0.008127,0.003796,0.00744,0.003966,0.008165,0.004056
11,100,1,0.172738,0.00932,0.006623,0.002485,0.006609,0.002284,0.004472,0.002592
11,100,1,0.23276,0.011121,0.004042,0.001615,0.005489,0.002262,0.004391,0.00157
11,100,1,0.006294,0.002759,0.003496,0.001468,0.00456,0.002549,0.003431,0.001492
11,100,1,0.189376,0.010793,0.005892,0.002525,0.004586,0.001551,0.006185,0.001815
11,100,1,0.012724,0.002537,0.006225,0.003553,0.006926,0.002665,0.006925,0.003244
11,100,1,0.205283,0.009743,0.004941,0.002492,0.004254,0.001588,0.006025,0.001906
11,100,1,0.517773,0.014495,0.008968,0.003543,0.008726,0.00288,0.008785,0.003302
