gamma,time_BA,iter_BA,time_HOGL,iter_HOGL,time_KCRDKL,iter_KCRDKL,time_KCU,iter_KCU
1,0.020052820000000002,2.92,0.005512700000000001,1.58,0.00564184,1.58,0.00566076,1.58
11,0.14121692,6.18,0.010945199999999999,1.28,0.01075836,1.28,0.010695299999999998,1.28
21,0.1862243,6.72,0.02408932,1.4,0.02407742,1.4,0.023753859999999998,1.4
31,0.19452374,6.5,0.04360042,1.32,0.04331252,1.32,0.043823100000000004,1.32
41,0.25776764,6.86,0.07900652,1.38,0.07837558,1.38,0.07808248,1.38
51,0.30336103999999997,6.92,0.12052958,1.42,0.11756516,1.42,0.11835978000000001,1.42
61,0.34913718000000005,6.82,0.16919167999999998,1.4,0.16886052,1.4,0.16638078,1.4
81,0.48706103999999995,6.84,0.28893376,1.36,0.29452217999999997,1.36,0.28593854,1.36
91,0.5597628,6.78,0.36964306,1.38,0.37448465999999997,1.38,0.35840829999999996,1.38
101,0.63937022,6.74,0.45651682,1.4,0.46343328,1.4,0.43767204,1.4
