Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,1,0.020436,0.000249,0.006689,0.000259,0.006358,0.000218,0.006255,0.000252
11,100,1,1,0.293328,0.012302,0.007449,0.002343,0.00729,0.00225,0.007373,0.002314
21,100,1,1,0.329861,0.035845,0.010519,0.006841,0.010084,0.00643,0.010032,0.006591
31,100,1,1,0.463118,0.089313,0.016145,0.015079,0.015537,0.01377,0.015443,0.014075
41,100,1,1,0.411822,0.144789,0.023377,0.027481,0.020723,0.022077,0.020671,0.024571
51,100,1,1,0.295391,0.180703,0.029758,0.037117,0.027173,0.032482,0.027574,0.037105
61,100,1,1,0.323868,0.271319,0.037125,0.053621,0.036437,0.046642,0.036777,0.053181
71,100,1,1,0.40111,0.389615,0.049858,0.07139,0.046805,0.062961,0.046615,0.072357
81,100,1,1,0.423716,0.495589,0.061402,0.09281,0.057199,0.081958,0.057443,0.092209
91,100,1,1,0.377754,0.560818,0.069879,0.115757,0.068852,0.100837,0.069384,0.114664
101,100,1,1,0.41122,0.669516,0.082115,0.140571,0.080996,0.123319,0.081581,0.141016
1,100,1,1,0.029073,0.000335,0.009266,0.000343,0.009185,0.000291,0.009152,0.000337
11,100,1,1,0.428208,0.013716,0.010833,0.003629,0.010948,0.002936,0.010643,0.003234
21,100,1,1,0.598048,0.04263,0.008654,0.005585,0.008575,0.005419,0.008572,0.005489
31,100,1,1,0.462099,0.078322,0.013055,0.011658,0.013183,0.011209,0.012786,0.011655
41,100,1,1,0.506227,0.142794,0.019993,0.022123,0.019393,0.021031,0.020498,0.020578
51,100,1,1,0.801434,0.27285,0.027197,0.033491,0.027223,0.032645,0.027106,0.033838
61,100,1,1,0.723197,0.358883,0.037349,0.048478,0.03704,0.047873,0.036613,0.049174
71,100,1,1,0.747243,0.479695,0.046512,0.066067,0.046279,0.063262,0.046726,0.06609
81,100,1,1,0.670645,0.572888,0.057147,0.083592,0.060207,0.076688,0.057123,0.084859
91,100,1,1,0.709484,0.716374,0.069937,0.109528,0.069612,0.101037,0.069188,0.110124
101,100,1,1,0.832952,0.930011,0.082587,0.140826,0.081834,0.123341,0.081333,0.140843
1,100,1,1,0.031346,0.000345,0.008013,0.00032,0.007891,0.000272,0.007828,0.000316
11,100,1,1,0.421381,0.012646,0.006399,0.001955,0.006268,0.001874,0.006205,0.002022
21,100,1,1,0.49985,0.037772,0.009394,0.005537,0.008898,0.005429,0.008938,0.005646
31,100,1,1,0.511972,0.078594,0.013082,0.011578,0.013342,0.011346,0.013159,0.011566
41,100,1,1,0.537791,0.143498,0.019746,0.022263,0.020068,0.020783,0.019783,0.021437
51,100,1,1,0.668955,0.236108,0.027457,0.033783,0.027576,0.032299,0.027499,0.034165
61,100,1,1,0.587863,0.315335,0.036848,0.049456,0.040174,0.044879,0.037214,0.049736
71,100,1,1,0.598529,0.421562,0.047334,0.06642,0.048532,0.06226,0.047594,0.066952
81,100,1,1,0.629938,0.541203,0.059157,0.084733,0.058136,0.082193,0.060862,0.081575
91,100,1,1,0.837799,0.772816,0.069855,0.111085,0.069828,0.102178,0.070207,0.11197
101,100,1,1,0.685518,0.817248,0.082383,0.142625,0.082154,0.124063,0.083347,0.134101
1,100,1,1,0.010114,0.000159,0.00341,0.000154,0.003343,0.000128,0.00331,0.000158
11,100,1,1,0.014396,0.00274,0.007857,0.003121,0.007802,0.002922,0.007705,0.00307
21,100,1,1,0.014902,0.008044,0.012689,0.008265,0.012527,0.008401,0.012653,0.008362
31,100,1,1,0.016947,0.017369,0.019371,0.019275,0.019755,0.017689,0.020275,0.017982
41,100,1,1,0.019659,0.031243,0.031176,0.035072,0.030289,0.032326,0.031267,0.032861
51,100,1,1,0.022184,0.048142,0.043836,0.052456,0.043216,0.049734,0.043597,0.052745
61,100,1,1,0.026678,0.068372,0.058607,0.07632,0.059433,0.072825,0.058489,0.075252
71,100,1,1,0.03045,0.090407,0.075471,0.101087,0.077358,0.098152,0.079836,0.098852
81,100,1,1,0.035393,0.116705,0.092185,0.130508,0.095414,0.125501,0.096893,0.130606
