Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,0.033437,0.00034,0.010526,0.000331,0.008426,0.000237,0.008386,0.000284
11,100,1,0.25605,0.013138,0.009955,0.002518,0.008371,0.002151,0.007713,0.00205
21,100,1,0.251925,0.045492,0.018496,0.010637,0.014789,0.007622,0.014319,0.00934
31,100,1,0.37234,0.11669,0.017589,0.016018,0.035734,0.02554,0.029632,0.032697
41,100,1,0.479402,0.237748,0.049764,0.047111,0.040757,0.033447,0.060773,0.051307
51,100,1,0.385057,0.31394,0.055209,0.060355,0.071557,0.074222,0.052413,0.069726
61,100,1,0.480855,0.47037,0.093514,0.094426,0.11291,0.102512,0.086288,0.102842
71,100,1,0.601174,0.688768,0.115654,0.117443,0.114802,0.097936,0.108948,0.123468
81,100,1,0.799123,0.979451,0.152389,0.161589,0.156269,0.178119,0.164321,0.156493
91,100,1,0.684427,1.03234,0.168273,0.16502,0.182441,0.202041,0.139107,0.201622
101,100,1,0.781931,1.19405,0.187268,0.208669,0.194323,0.172932,0.226345,0.222427
1,100,1,0.034051,0.00069,0.010865,0.000494,0.008266,0.000228,0.007674,0.000272
11,100,1,0.177378,0.011712,0.006549,0.001672,0.005309,0.001476,0.005147,0.00135
21,100,1,0.33885,0.056257,0.0131,0.009296,0.01504,0.008802,0.016947,0.01158
31,100,1,0.334238,0.126524,0.03378,0.027244,0.020792,0.015247,0.016713,0.013355
41,100,1,0.398263,0.231699,0.038603,0.03912,0.049144,0.038569,0.055817,0.048296
51,100,1,0.285227,0.257052,0.072103,0.089987,0.061414,0.067937,0.063223,0.060712
61,100,1,0.50368,0.473487,0.088408,0.098896,0.088579,0.092126,0.09956,0.0764
71,100,1,0.42021,0.468027,0.084733,0.079853,0.075749,0.078005,0.074655,0.088271
81,100,1,0.492252,0.615774,0.098214,0.091675,0.084111,0.113215,0.119731,0.130349
91,100,1,0.674695,0.840629,0.159227,0.202161,0.127499,0.184485,0.103932,0.196338
101,100,1,0.713574,1.02885,0.126982,0.216096,0.110188,0.18644,0.133365,0.216467
1,100,1,0.017305,0.000261,0.003257,0.000135,0.002639,0.000108,0.002556,0.000117
11,100,1,0.024099,0.003017,0.00649,0.001608,0.006248,0.001372,0.005687,0.001497
21,100,1,0.064021,0.021259,0.011281,0.006468,0.010001,0.005161,0.010015,0.005284
31,100,1,0.02926,0.02084,0.015921,0.01589,0.02301,0.017482,0.025575,0.022969
41,100,1,0.09103,0.070104,0.039932,0.035845,0.031349,0.026369,0.034803,0.033762
51,100,1,0.082476,0.143437,0.052409,0.058465,0.041882,0.038383,0.054229,0.050412
61,100,1,0.162319,0.202231,0.065643,0.070253,0.061471,0.070197,0.072001,0.077587
71,100,1,0.131374,0.224348,0.088651,0.081944,0.074683,0.083398,0.071059,0.086573
81,100,1,0.087939,0.20273,0.077472,0.134814,0.118236,0.126609,0.09366,0.106982
91,100,1,0.244431,0.454211,0.125939,0.135299,0.135599,0.141959,0.119074,0.175588
101,100,1,0.215664,0.439615,0.182374,0.192171,0.18058,0.141562,0.157874,0.16603
1,100,1,0.014001,0.000236,0.003666,0.000155,0.002558,0.000116,0.00244,0.00013
11,100,1,0.01317,0.002041,0.008127,0.002319,0.007154,0.001934,0.006753,0.002052
21,100,1,0.012449,0.006177,0.013628,0.007824,0.015481,0.008181,0.016164,0.009866
31,100,1,0.024707,0.024726,0.035472,0.026171,0.024965,0.017872,0.044811,0.035029
41,100,1,0.028525,0.037468,0.039514,0.043859,0.052254,0.042389,0.065777,0.050062
51,100,1,0.02985,0.051323,0.07964,0.073225,0.074552,0.080711,0.076229,0.069326
61,100,1,0.02405,0.083203,0.106808,0.106777,0.108073,0.099445,0.102143,0.099986
71,100,1,0.050538,0.12475,0.107615,0.132845,0.108741,0.102915,0.091589,0.121432
81,100,1,0.041473,0.113433,0.113934,0.132439,0.124667,0.127015,0.140588,0.132418
91,100,1,0.078289,0.188357,0.261002,0.301965,0.266273,0.255857,0.250193,0.256734
101,100,1,0.090902,0.223246,0.256245,0.271553,0.244653,0.280732,0.26848,0.299211
1,100,1,0.028461,0.000392,0.005821,0.000225,0.004436,0.00016,0.004238,0.000197
11,100,1,0.11826,0.00718,0.006645,0.001523,0.005747,0.001397,0.005553,0.001492
21,100,1,0.125894,0.030706,0.010401,0.005516,0.010023,0.004779,0.009469,0.004858
31,100,1,0.192347,0.071053,0.021134,0.015226,0.024922,0.018651,0.027938,0.020468
41,100,1,0.177178,0.11822,0.034769,0.035467,0.037193,0.031467,0.039426,0.032041
51,100,1,0.197703,0.175039,0.053069,0.052846,0.040585,0.038513,0.053494,0.050248
61,100,1,0.2835,0.285707,0.071726,0.072942,0.064654,0.062795,0.063635,0.077567
71,100,1,0.398359,0.469419,0.089499,0.097984,0.083912,0.08358,0.089269,0.085851
81,100,1,0.325902,0.506138,0.108525,0.100103,0.093297,0.121698,0.121612,0.114873
91,100,1,0.345061,0.552546,0.124213,0.187269,0.102552,0.129602,0.135646,0.128107
101,100,1,0.435317,0.778954,0.136218,0.192459,0.128895,0.187049,0.140109,0.21697
1,100,1,0.01027,0.000192,0.003561,0.000143,0.002523,0.000101,0.002462,0.000121
11,100,1,0.00578,0.001303,0.004439,0.001404,0.004131,0.001319,0.004009,0.00139
21,100,1,0.006227,0.005177,0.011271,0.005531,0.010558,0.005161,0.009784,0.006054
31,100,1,0.009281,0.01251,0.02135,0.015858,0.02022,0.014868,0.020688,0.014146
41,100,1,0.016338,0.028627,0.041183,0.037612,0.025498,0.024374,0.037708,0.034525
51,100,1,0.01704,0.042484,0.044786,0.047728,0.051468,0.049,0.046851,0.058426
61,100,1,0.02179,0.064017,0.07544,0.076463,0.061248,0.064454,0.065926,0.070863
71,100,1,0.029439,0.092449,0.094096,0.078792,0.095412,0.090469,0.076734,0.094629
81,100,1,0.02364,0.103048,0.115972,0.124931,0.090858,0.089297,0.091704,0.139484
91,100,1,0.028081,0.10754,0.153386,0.16599,0.112009,0.15936,0.10857,0.140579
101,100,1,0.035711,0.136872,0.165446,0.18027,0.153852,0.150364,0.133384,0.187879
1,100,1,0.031542,0.000386,0.007976,0.000288,0.006944,0.000244,0.0068,0.000266
11,100,1,0.213865,0.010888,0.008193,0.002072,0.007749,0.001848,0.007952,0.001948
21,100,1,0.414267,0.04878,0.012987,0.006861,0.01092,0.006144,0.011914,0.006259
31,100,1,0.290287,0.080764,0.022055,0.017412,0.025255,0.018364,0.022828,0.020107
41,100,1,0.383289,0.164479,0.030026,0.025891,0.029963,0.029842,0.042442,0.039475
51,100,1,0.402809,0.254804,0.052452,0.055802,0.041349,0.038939,0.055927,0.060299
61,100,1,0.407306,0.348729,0.059192,0.063661,0.065757,0.067082,0.062863,0.081519
71,100,1,0.501471,0.521766,0.079942,0.109914,0.081144,0.091623,0.095317,0.110116
81,100,1,0.560347,0.647956,0.10103,0.114316,0.118102,0.12092,0.1157,0.109167
91,100,1,0.645364,0.807664,0.099607,0.178106,0.099397,0.115771,0.137549,0.130293
101,100,1,0.68197,0.95154,0.152736,0.2014,0.164981,0.16641,0.16887,0.178141
1,100,1,0.022816,0.000356,0.003329,0.000145,0.002456,9.7e-05,0.002351,0.000118
11,100,1,0.036304,0.004018,0.011304,0.003113,0.009681,0.002657,0.00882,0.002898
21,100,1,0.05298,0.013727,0.015041,0.008041,0.016573,0.008779,0.016855,0.009892
31,100,1,0.118142,0.050386,0.040029,0.033475,0.031887,0.024746,0.024866,0.020649
41,100,1,0.098389,0.081352,0.046745,0.05223,0.059282,0.044971,0.052569,0.056956
51,100,1,0.095563,0.125189,0.076278,0.074831,0.078093,0.072578,0.076373,0.078104
61,100,1,0.127089,0.175228,0.108414,0.118043,0.115669,0.09988,0.106601,0.105099
71,100,1,0.1394,0.253928,0.119796,0.145349,0.141195,0.128076,0.141381,0.148172
81,100,1,0.156782,0.290431,0.168046,0.213663,0.18997,0.178947,0.183923,0.166704
91,100,1,0.196573,0.369255,0.165814,0.279583,0.181186,0.185203,0.240552,0.191706
101,100,1,0.215982,0.469737,0.195964,0.312009,0.249969,0.289844,0.297454,0.264827
1,100,1,0.014675,0.000297,0.003591,0.000156,0.002457,0.000106,0.002282,0.000124
11,100,1,0.006124,0.001462,0.00402,0.00142,0.003777,0.001317,0.003942,0.001309
21,100,1,0.006214,0.004352,0.007773,0.005035,0.00648,0.004303,0.006447,0.004503
31,100,1,0.007674,0.009997,0.013002,0.012269,0.024161,0.018873,0.025869,0.020114
41,100,1,0.016064,0.028201,0.026083,0.027682,0.036696,0.033393,0.031336,0.027378
51,100,1,0.01528,0.032928,0.052387,0.053695,0.046061,0.037389,0.053835,0.050723
61,100,1,0.01601,0.044037,0.074737,0.074138,0.076797,0.065732,0.071198,0.073389
71,100,1,0.022472,0.067473,0.076603,0.079602,0.080621,0.08138,0.076022,0.094549
81,100,1,0.033508,0.110792,0.101332,0.101742,0.100036,0.119222,0.124669,0.111576
91,100,1,0.033571,0.13166,0.125165,0.125727,0.155664,0.143197,0.115668,0.183026
