gamma,time_BA,iter_BA,time_HOGL,iter_HOGL,time_KCRDKL,iter_KCRDKL,time_KCU,iter_KCU
1,0.01805532,2.96,0.00523894,1.68,0.0053324,1.68,0.0052596399999999995,1.68
11,0.21320976000000003,7.66,0.01176698,1.38,0.0117588,1.38,0.01159792,1.38
21,0.2551134,8.28,0.02499564,1.32,0.025169220000000003,1.32,0.02504708,1.32
31,0.2900506,8.1,0.04665466,1.28,0.046439339999999996,1.28,0.04625784,1.28
41,0.36247065999999994,8.4,0.08286284000000001,1.32,0.08206908,1.32,0.08300332,1.32
51,0.39257202,8.1,0.1348013,1.44,0.13173310000000002,1.44,0.132676,1.44
61,0.48536834,8.24,0.17733944000000001,1.32,0.17740524000000002,1.32,0.17633198,1.32
81,0.6848095000000001,8.28,0.34175054000000005,1.48,0.34761285999999997,1.48,0.33844450000000004,1.48
91,0.80536754,8.24,0.43482132,1.48,0.43958004,1.48,0.42739933999999996,1.48
101,0.92246508,8.48,0.5351339799999999,1.5,0.54457842,1.5,0.52357886,1.5
