Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,1,0.034973,0.000322,0.010343,0.000337,0.010089,0.000289,0.010068,0.000354
11,100,1,1,0.321919,0.012358,0.006821,0.002361,0.006611,0.002233,0.006646,0.00227
21,100,1,1,0.326307,0.036221,0.009721,0.006632,0.009506,0.0064,0.009453,0.006494
31,100,1,1,0.394746,0.078447,0.014473,0.014373,0.01385,0.013176,0.01392,0.014088
41,100,1,1,0.463713,0.15246,0.019478,0.023931,0.019481,0.021686,0.019381,0.024009
51,100,1,1,0.299974,0.176233,0.026989,0.033878,0.024715,0.030622,0.024832,0.034066
61,100,1,1,0.307247,0.255909,0.034047,0.049161,0.033341,0.043957,0.033159,0.049141
71,100,1,1,0.396191,0.357368,0.043885,0.067004,0.04356,0.059173,0.043599,0.067296
81,100,1,1,0.499186,0.511891,0.054854,0.087047,0.054407,0.076218,0.053527,0.086762
91,100,1,1,0.380043,0.538862,0.066566,0.108242,0.065533,0.095731,0.065897,0.108872
101,100,1,1,0.45721,0.711995,0.079284,0.132553,0.076722,0.117937,0.076227,0.132623
1,100,1,1,0.027834,0.000293,0.008813,0.000303,0.008693,0.000267,0.008721,0.000311
11,100,1,1,0.197203,0.009204,0.005318,0.001878,0.00514,0.001902,0.005197,0.001852
21,100,1,1,0.371163,0.032658,0.007915,0.005311,0.007467,0.005208,0.007435,0.005106
31,100,1,1,0.285363,0.061421,0.011297,0.010547,0.01107,0.010356,0.011334,0.010656
41,100,1,1,0.302769,0.111307,0.016912,0.019839,0.017136,0.019008,0.017142,0.01936
51,100,1,1,0.215565,0.144835,0.024405,0.032945,0.023878,0.029872,0.024529,0.030057
61,100,1,1,0.335936,0.254007,0.032577,0.045632,0.033063,0.047874,0.032036,0.045276
71,100,1,1,0.361736,0.343303,0.043871,0.061321,0.043616,0.058617,0.044242,0.061145
81,100,1,1,0.38739,0.437437,0.054113,0.07887,0.056582,0.073614,0.053993,0.079336
91,100,1,1,0.479521,0.592533,0.065922,0.104921,0.06571,0.095645,0.06588,0.105174
101,100,1,1,0.51728,0.725929,0.077644,0.133725,0.077751,0.116125,0.077607,0.134508
1,100,1,1,0.017159,0.000231,0.003305,0.000152,0.003287,0.000129,0.00322,0.000143
11,100,1,1,0.027336,0.003697,0.004725,0.00194,0.004665,0.00181,0.004489,0.00184
21,100,1,1,0.067081,0.015234,0.007341,0.005269,0.007207,0.005309,0.007113,0.005226
31,100,1,1,0.028992,0.020546,0.011046,0.01107,0.011113,0.010778,0.010983,0.011753
41,100,1,1,0.075187,0.057178,0.017055,0.019258,0.016995,0.019367,0.017287,0.019364
51,100,1,1,0.074429,0.093884,0.023673,0.030873,0.025,0.028504,0.023885,0.030586
61,100,1,1,0.115969,0.14895,0.03247,0.045409,0.033337,0.043771,0.032712,0.045029
71,100,1,1,0.094589,0.171897,0.043225,0.061441,0.043358,0.060224,0.042864,0.062359
81,100,1,1,0.050104,0.146815,0.053884,0.079665,0.053102,0.076253,0.054009,0.079473
91,100,1,1,0.155296,0.319839,0.067399,0.108606,0.066417,0.096665,0.065508,0.105575
101,100,1,1,0.126327,0.332354,0.077821,0.133763,0.077753,0.117245,0.077007,0.134908
1,100,1,1,0.008683,0.000153,0.002967,0.000159,0.002859,0.000122,0.002832,0.000141
