Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,500,0.008062,0.000647,0.003865,0.000131,0.003919,0.000702
1,100,2,1000,0.004288,0.001365,0.00408,0.000142,0.003805,0.001251
1,100,2,1500,0.003725,0.001563,0.003677,0.000136,0.003824,0.002235
11,100,2,500,0.006985,0.002852,0.008434,0.00193,0.006329,0.002932
11,100,2,1000,0.007274,0.003627,0.007885,0.001877,0.006361,0.003469
11,100,2,1500,0.006441,0.004368,0.008231,0.002076,0.006393,0.004509
21,100,2,500,0.012344,0.009719,0.014598,0.008066,0.013644,0.009492
21,100,2,1000,0.013693,0.010839,0.014861,0.007706,0.012564,0.009795
21,100,2,1500,0.013415,0.010194,0.014005,0.007617,0.012512,0.010327
31,100,2,500,0.023698,0.020593,0.024625,0.018167,0.023204,0.020576
31,100,2,1000,0.021464,0.023708,0.024675,0.017395,0.022617,0.02132
31,100,2,1500,0.023202,0.022441,0.023754,0.01821,0.020536,0.018826
41,100,2,500,0.032792,0.032931,0.032172,0.028632,0.030958,0.031558
41,100,2,1000,0.031139,0.032712,0.031364,0.029592,0.029998,0.031146
41,100,2,1500,0.027427,0.031398,0.01914,0.016441,0.012668,0.014261
51,100,2,500,0.029163,0.040307,0.048366,0.037803,0.042544,0.045447
51,100,2,1000,0.041632,0.047009,0.04388,0.041554,0.043428,0.050003
51,100,2,1500,0.046513,0.053945,0.046615,0.044517,0.042798,0.049452
61,100,2,500,0.069314,0.058633,0.065112,0.05808,0.058585,0.063659
61,100,2,1000,0.028241,0.032118,0.056122,0.060211,0.063518,0.070597
61,100,2,1500,0.05873,0.067725,0.061982,0.062668,0.0633,0.072414
71,100,2,500,0.075927,0.101802,0.078555,0.08089,0.076024,0.089672
71,100,2,1000,0.050081,0.055352,0.064428,0.080967,0.07646,0.080208
71,100,2,1500,0.076044,0.092247,0.082495,0.078042,0.076498,0.09339
81,100,2,500,0.098542,0.137971,0.079399,0.075958,0.068611,0.105584
81,100,2,1000,0.088021,0.110807,0.107341,0.094797,0.094477,0.11697
81,100,2,1500,0.096714,0.118864,0.089921,0.094631,0.077446,0.077407
