gamma,time_HOGL,iter_HOGL,time_KCRDKL,iter_KCRDKL,time_KCUD,iter_KCUD
1,0.00470466,1.52,0.004896452857142857,1.542857142857143,0.004500031428571428,1.46
11,0.011299884285714287,1.39,0.01138292,1.3857142857142857,0.010247584285714286,1.24
21,0.02389045142857143,1.4557142857142857,0.024252935714285714,1.45,0.021802085714285713,1.28
31,0.039136177142857144,1.26,0.04033661,1.282857142857143,0.03809258428571429,1.26
41,0.06921896142857144,1.4185714285714286,0.06891404142857142,1.4185714285714286,0.06294664999999999,1.28
51,0.10046812000000001,1.46,0.10164280285714286,1.467142857142857,0.09087852571428572,1.28
61,0.12924798571428572,1.36,0.13111648857142857,1.36,0.12217106857142856,1.28
81,0.21621171571428568,1.3685714285714285,0.22419344714285716,1.4114285714285715,0.20153594571428574,1.28
91,0.27151749428571426,1.3828571428571428,0.28208465285714285,1.437142857142857,0.25050439571428573,1.28
101,0.34262142285714287,1.4028571428571428,0.35436281,1.4542857142857142,0.31401526571428573,1.28
