gamma,time_HOGL,iter_HOGL,time_KCRDKL,iter_KCRDKL,time_KCUD,iter_KCUD
1,0.004221201428571428,1.5171428571428571,0.004411301428571429,1.5371428571428571,0.004016317142857143,1.44
11,0.01087229,1.5042857142857142,0.011162777142857143,1.5157142857142858,0.008769142857142857,1.2
21,0.024121049999999998,1.34,0.024168679999999998,1.34,0.022713304285714286,1.26
31,0.05337021714285715,1.2814285714285714,0.05421055285714286,1.2871428571428571,0.051735107142857145,1.26
41,0.09897578142857143,1.34,0.09991984428571428,1.3385714285714285,0.09180159571428571,1.26
51,0.1454173085714286,1.312857142857143,0.14456873571428572,1.3057142857142856,0.13730109285714287,1.26
61,0.2073085,1.32,0.20751843714285712,1.32,0.19685269857142856,1.26
81,0.3441433314285714,1.32,0.34689934,1.3342857142857143,0.32427921142857147,1.26
91,0.47174218714285715,1.4628571428571429,0.4730043371428571,1.4714285714285715,0.41253775857142855,1.26
101,0.5741703571428571,1.5,0.5639164328571429,1.47,0.49108425000000006,1.26
