Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,100,0.011944,0.000532,0.006155,0.000153,0.005317,0.000288
1,100,2,200,0.005597,0.000342,0.005804,0.00016,0.005585,0.000361
1,100,2,300,0.005434,0.000397,0.005612,0.000157,0.0054,0.000407
1,100,2,400,0.005283,0.000429,0.00549,0.000148,0.005276,0.000451
1,100,2,500,0.005456,0.00046,0.005506,0.000152,0.005275,0.000508
1,100,2,600,0.005389,0.000505,0.005593,0.000152,0.005242,0.00058
1,100,2,700,0.005409,0.00058,0.005392,0.000161,0.005347,0.000614
1,100,2,800,0.005252,0.000566,0.005395,0.000145,0.005331,0.00066
1,100,2,900,0.005298,0.000584,0.005452,0.000157,0.00529,0.000698
1,100,2,1000,0.005364,0.000673,0.005455,0.000153,0.005267,0.00076
1,100,2,1100,0.005467,0.000689,0.005351,0.000149,0.005331,0.000794
1,100,2,1200,0.005547,0.000747,0.00556,0.000153,0.005342,0.000798
1,100,2,1300,0.005547,0.000718,0.005578,0.000156,0.005449,0.000897
1,100,2,1400,0.005296,0.000709,0.005612,0.00015,0.005333,0.000834
11,100,2,100,0.006259,0.001774,0.005772,0.001323,0.005047,0.00165
11,100,2,200,0.005169,0.001814,0.005768,0.001351,0.00492,0.001965
11,100,2,300,0.005045,0.002088,0.005883,0.001312,0.005199,0.002116
11,100,2,400,0.005766,0.002334,0.006177,0.001402,0.005313,0.002451
11,100,2,500,0.005553,0.002604,0.006089,0.001469,0.005032,0.002337
11,100,2,600,0.004919,0.002426,0.005601,0.001295,0.004593,0.002484
11,100,2,700,0.004976,0.002619,0.005486,0.001329,0.004511,0.00263
11,100,2,800,0.004869,0.00272,0.005393,0.001281,0.004771,0.002852
11,100,2,900,0.005191,0.002971,0.005518,0.001373,0.004824,0.002953
11,100,2,1000,0.005428,0.003116,0.005829,0.001385,0.005277,0.003258
11,100,2,1100,0.005716,0.003349,0.006028,0.001441,0.005505,0.003561
11,100,2,1200,0.005706,0.003733,0.006242,0.001391,0.005464,0.003845
11,100,2,1300,0.005314,0.003812,0.005934,0.001357,0.005119,0.003812
11,100,2,1400,0.005314,0.003604,0.005358,0.001291,0.004667,0.00375
21,100,2,100,0.008926,0.005505,0.008458,0.004459,0.007506,0.00434
21,100,2,200,0.007755,0.004816,0.008299,0.004686,0.009064,0.005459
21,100,2,300,0.009807,0.006249,0.009688,0.005355,0.010229,0.006273
21,100,2,400,0.009783,0.006937,0.011381,0.006063,0.010822,0.006851
21,100,2,500,0.009143,0.005768,0.00857,0.00448,0.008494,0.005676
21,100,2,600,0.008077,0.005672,0.009535,0.004812,0.00989,0.006728
21,100,2,700,0.011838,0.007581,0.012448,0.006515,0.01121,0.008075
21,100,2,800,0.008748,0.007473,0.010079,0.004818,0.008222,0.005774
21,100,2,900,0.008143,0.005693,0.008501,0.004244,0.007246,0.006028
21,100,2,1000,0.009431,0.007595,0.009716,0.005401,0.00914,0.007538
21,100,2,1100,0.010513,0.007806,0.011045,0.00571,0.011512,0.00946
21,100,2,1200,0.011691,0.008039,0.009913,0.004626,0.008296,0.006932
21,100,2,1300,0.008533,0.006539,0.008221,0.004341,0.00753,0.006247
21,100,2,1400,0.008797,0.007789,0.011194,0.005193,0.011785,0.010605
31,100,2,100,0.023768,0.020125,0.018105,0.0121,0.01372,0.010655
31,100,2,200,0.014377,0.012623,0.019827,0.014953,0.025866,0.018757
31,100,2,300,0.020234,0.012933,0.012498,0.009766,0.014181,0.01346
31,100,2,400,0.025117,0.02164,0.021473,0.014492,0.014769,0.01193
31,100,2,500,0.012629,0.011018,0.01642,0.010915,0.022914,0.022635
31,100,2,600,0.021182,0.017557,0.015435,0.010711,0.013235,0.011882
31,100,2,700,0.017429,0.017842,0.026008,0.015601,0.018032,0.016186
31,100,2,800,0.013279,0.012867,0.013715,0.009631,0.018006,0.01914
31,100,2,900,0.025859,0.021958,0.02065,0.01423,0.013394,0.012503
31,100,2,1000,0.014189,0.013158,0.02131,0.015903,0.022408,0.019401
31,100,2,1100,0.017247,0.014409,0.013797,0.010186,0.017893,0.014421
31,100,2,1200,0.022237,0.021428,0.022486,0.015952,0.017699,0.016887
31,100,2,1300,0.014075,0.013995,0.01661,0.01219,0.024999,0.022551
31,100,2,1400,0.021535,0.020003,0.015575,0.011596,0.013814,0.014271
41,100,2,100,0.036824,0.038596,0.027587,0.025092,0.022419,0.021812
41,100,2,200,0.040318,0.034892,0.029852,0.020534,0.027428,0.026912
41,100,2,300,0.042384,0.036084,0.020249,0.020079,0.034288,0.033366
41,100,2,400,0.034525,0.031753,0.01967,0.019853,0.041334,0.038096
41,100,2,500,0.025284,0.024498,0.02049,0.021471,0.04107,0.036887
41,100,2,600,0.02461,0.024642,0.031574,0.030468,0.035601,0.034176
41,100,2,700,0.02183,0.022314,0.035878,0.032709,0.027584,0.026775
41,100,2,800,0.0204,0.027515,0.038443,0.031838,0.025048,0.0255
41,100,2,900,0.030203,0.032189,0.039582,0.030724,0.023306,0.01926
41,100,2,1000,0.037512,0.035167,0.032227,0.023231,0.020422,0.030219
41,100,2,1100,0.043472,0.045496,0.023747,0.021726,0.024893,0.030566
41,100,2,1200,0.034352,0.035369,0.023513,0.018931,0.039883,0.040901
41,100,2,1300,0.031109,0.029855,0.021274,0.018231,0.038012,0.03826
41,100,2,1400,0.028373,0.027344,0.028803,0.027284,0.038086,0.037666
51,100,2,100,0.026995,0.037464,0.052003,0.047465,0.036378,0.044697
51,100,2,200,0.042671,0.044274,0.04557,0.042073,0.03655,0.040833
51,100,2,300,0.058434,0.046014,0.029147,0.032093,0.050726,0.052983
51,100,2,400,0.037726,0.034991,0.049091,0.047227,0.031055,0.043188
51,100,2,500,0.049783,0.04575,0.045629,0.042644,0.039546,0.040208
51,100,2,600,0.04685,0.057553,0.03486,0.033921,0.051042,0.06059
51,100,2,700,0.033406,0.040726,0.052362,0.044464,0.037156,0.036388
51,100,2,800,0.048458,0.046474,0.04652,0.040656,0.044016,0.043102
51,100,2,900,0.051933,0.05423,0.034752,0.034299,0.04186,0.051028
51,100,2,1000,0.041376,0.042828,0.052495,0.049198,0.034847,0.038752
51,100,2,1100,0.050973,0.048042,0.050318,0.039704,0.043435,0.043621
51,100,2,1200,0.04383,0.047068,0.041326,0.037146,0.053895,0.052971
51,100,2,1300,0.030616,0.038001,0.050985,0.042345,0.038085,0.047529
51,100,2,1400,0.04348,0.052472,0.042324,0.038775,0.037363,0.052441
61,100,2,100,0.061032,0.066838,0.066026,0.052796,0.061038,0.069125
61,100,2,200,0.04789,0.059863,0.058713,0.06047,0.059385,0.066815
61,100,2,300,0.067284,0.063849,0.053374,0.061833,0.047939,0.076063
61,100,2,400,0.061236,0.063927,0.057643,0.062918,0.062647,0.065909
61,100,2,500,0.064237,0.06116,0.047079,0.056206,0.054974,0.067954
61,100,2,600,0.058738,0.069767,0.065681,0.058729,0.049838,0.071201
61,100,2,700,0.05111,0.058706,0.056419,0.05839,0.063408,0.066301
61,100,2,800,0.068342,0.065761,0.056178,0.060385,0.046509,0.057242
61,100,2,900,0.067068,0.057421,0.064906,0.058057,0.064355,0.068475
61,100,2,1000,0.056666,0.069661,0.055427,0.048396,0.066803,0.064482
61,100,2,1100,0.063802,0.063442,0.068207,0.059343,0.050067,0.07001
61,100,2,1200,0.051592,0.0559,0.064482,0.056505,0.06386,0.073194
61,100,2,1300,0.067037,0.07137,0.05988,0.06293,0.054361,0.054539
61,100,2,1400,0.065427,0.0619,0.064229,0.057697,0.061145,0.06186
71,100,2,100,0.091809,0.097658,0.074019,0.069748,0.099122,0.080247
71,100,2,200,0.071758,0.075147,0.085289,0.076157,0.073736,0.074735
71,100,2,300,0.092231,0.078803,0.06916,0.094365,0.077712,0.071098
71,100,2,400,0.077482,0.085466,0.070569,0.070739,0.074993,0.081696
71,100,2,500,0.071612,0.079231,0.07982,0.073286,0.065625,0.070426
71,100,2,600,0.073872,0.079129,0.066492,0.080517,0.073083,0.084898
71,100,2,700,0.06391,0.082201,0.067662,0.070692,0.064605,0.083554
71,100,2,800,0.066727,0.080303,0.064488,0.075563,0.066366,0.084355
71,100,2,900,0.066444,0.080194,0.06753,0.091872,0.082389,0.102114
