Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,3,100,0.021911,0.001301,0.017472,0.001256
1,80,3,200,0.017894,0.001673,0.018864,0.002009
1,80,3,300,0.017351,0.002078,0.024431,0.005812
1,80,3,400,0.018658,0.003246,0.018958,0.003399
1,80,3,500,0.01605,0.002164,0.0169,0.003197
1,80,3,600,0.018524,0.002569,0.009676,0.002406
1,80,3,700,0.00702,0.001477,0.005628,0.001229
1,80,3,800,0.005265,0.00121,0.004767,0.000885
1,80,3,900,0.004822,0.000822,0.004658,0.001537
1,80,3,1000,0.00419,0.000766,0.004571,0.001186
1,80,3,1100,0.004841,0.00133,0.004132,0.001063
1,80,3,1200,0.004439,0.000885,0.004694,0.001412
1,80,3,1300,0.003875,0.000981,0.004419,0.001387
1,80,3,1400,0.004918,0.001216,0.003774,0.002132
1,80,5,100,0.004012,0.000295,0.005004,0.000504
1,80,5,200,0.004534,0.000467,0.004204,0.000546
1,80,5,300,0.005433,0.000684,0.003882,0.001014
1,80,5,400,0.004471,0.000551,0.004737,0.001408
1,80,5,500,0.003854,0.000605,0.004863,0.001643
1,80,5,600,0.004885,0.000683,0.004568,0.001497
1,80,5,700,0.00463,0.001036,0.005276,0.001525
1,80,5,800,0.004741,0.000705,0.004193,0.001871
1,80,5,900,0.004208,0.000894,0.00519,0.002262
1,80,5,1000,0.00566,0.000934,0.005331,0.003027
1,80,5,1100,0.005838,0.001506,0.005771,0.003288
1,80,5,1200,0.005529,0.001574,0.005846,0.003295
1,80,5,1300,0.005581,0.001548,0.007324,0.003599
1,80,5,1400,0.00558,0.001572,0.005578,0.003639
1,80,7,100,0.007539,0.000406,0.005625,0.000865
1,80,7,200,0.007783,0.00055,0.005856,0.001419
1,80,7,300,0.007781,0.000756,0.005771,0.002005
1,80,7,400,0.007932,0.000818,0.005762,0.002582
1,80,7,500,0.005904,0.003673,0.005884,0.003167
1,80,7,600,0.008515,0.001055,0.009158,0.003577
1,80,7,700,0.005647,0.001437,0.009251,0.003907
1,80,7,800,0.009406,0.001151,0.005682,0.004505
1,80,7,900,0.009295,0.00126,0.005693,0.005356
1,80,7,1000,0.010025,0.001275,0.008635,0.00617
1,80,7,1100,0.005839,0.001376,0.007366,0.005042
1,80,7,1200,0.010106,0.001398,0.007803,0.007061
1,80,7,1300,0.006192,0.001546,0.00558,0.006723
1,80,7,1400,0.009975,0.00154,0.008172,0.00756
1,80,9,100,0.006977,0.000416,0.008076,0.001239
1,80,9,200,0.00978,0.000525,0.006685,0.001992
1,80,9,300,0.009986,0.000691,0.008727,0.002902
1,80,9,400,0.005912,0.000821,0.006056,0.00799
1,80,9,500,0.008215,0.000963,0.00713,0.005172
1,80,9,600,0.007551,0.00108,0.009832,0.008286
1,80,9,700,0.008959,0.001057,0.011125,0.005521
1,80,9,800,0.011651,0.001179,0.008771,0.009131
1,80,9,900,0.010674,0.001232,0.020432,0.012365
1,80,9,1000,0.016037,0.001261,0.014271,0.015943
1,80,9,1100,0.013686,0.001423,0.013828,0.020508
1,80,9,1200,0.012258,0.001432,0.021468,0.014715
1,80,9,1300,0.013922,0.00156,0.023822,0.028112
1,80,9,1400,0.020174,0.00164,0.01069,0.01213
1,80,11,100,0.00578,0.000415,0.017358,0.001497
1,80,11,200,0.020605,0.000626,0.022344,0.002873
1,80,11,300,0.011712,0.000672,0.005622,0.004196
1,80,11,400,0.007929,0.000783,0.005889,0.005555
1,80,11,500,0.006835,0.000957,0.005859,0.00651
1,80,11,600,0.00662,0.001049,0.011833,0.007188
1,80,11,700,0.005801,0.001047,0.00744,0.007918
1,80,11,800,0.008496,0.001147,0.005598,0.010765
1,80,11,900,0.009023,0.001237,0.008666,0.009757
1,80,11,1000,0.009049,0.001319,0.006111,0.013455
1,80,11,1100,0.005886,0.001372,0.008429,0.013918
1,80,11,1200,0.00581,0.001406,0.00601,0.01733
1,80,11,1300,0.005839,0.001497,0.00634,0.015132
1,80,11,1400,0.0062,0.001575,0.005848,0.01609
1,90,3,100,0.005936,0.000619,0.005915,0.000454
1,90,3,200,0.007295,0.000561,0.005626,0.000639
1,90,3,300,0.005793,0.000683,0.005468,0.00088
1,90,3,400,0.005649,0.000814,0.005924,0.001147
1,90,3,500,0.005841,0.000988,0.005683,0.001295
1,90,3,600,0.005725,0.001113,0.005698,0.001365
1,90,3,700,0.005795,0.001242,0.005564,0.001399
1,90,3,800,0.005552,0.001157,0.005677,0.001603
1,90,3,900,0.005918,0.001323,0.005524,0.00161
