Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,600,0.01339,0.000154,0.004764,0.000176,0.004652,0.000985,0.004551,0.000578,0.004069,0.00015,0.004555,0.000151,0.004119,0.001031,0.004087,0.000643
21,100,2,600,0.284682,0.027441,0.024117,0.004508,0.007101,0.006287,0.007161,0.005534,0.006835,0.004478,0.00755,0.004474,0.006886,0.006353,0.006871,0.005585
41,100,2,600,0.256159,0.103581,0.052396,0.018515,0.017278,0.020602,0.016899,0.019849,0.017209,0.017705,0.017754,0.017436,0.017126,0.024717,0.017018,0.019774
61,100,2,600,0.298534,0.211974,0.090913,0.042083,0.033287,0.04324,0.035512,0.040382,0.029674,0.029462,0.028508,0.031899,0.030161,0.033326,0.027743,0.03497
81,100,2,600,0.297298,0.299366,0.197621,0.066407,0.059396,0.068643,0.059524,0.068357,0.054724,0.067827,0.055288,0.067414,0.054484,0.074704,0.05943,0.069213
101,100,2,600,0.399389,0.5484,0.563972,0.09321,0.067551,0.093452,0.06743,0.091788,0.067197,0.085757,0.067868,0.085089,0.067045,0.093271,0.067117,0.09195
1,100,2,600,0.015551,0.000184,0.002856,0.0001,0.005413,0.001183,0.005407,0.002264,0.005427,0.00017,0.004339,0.000138,0.005589,0.001264,0.00551,0.000811
21,100,2,600,0.310007,0.02698,0.013815,0.00382,0.006365,0.005492,0.00611,0.005014,0.005685,0.003878,0.006599,0.003868,0.005876,0.005692,0.005912,0.004935
41,100,2,600,0.334752,0.097968,0.099574,0.018944,0.017946,0.021197,0.017713,0.020062,0.017025,0.017629,0.018353,0.017658,0.016886,0.021294,0.017103,0.020243
61,100,2,600,0.534233,0.278705,0.282729,0.038899,0.034022,0.0443,0.033967,0.043212,0.033516,0.038825,0.034749,0.039125,0.033887,0.044308,0.034434,0.042081
81,100,2,600,0.690446,0.523841,0.206296,0.061657,0.046886,0.06204,0.047038,0.060337,0.045941,0.055856,0.046906,0.055521,0.04622,0.062013,0.046173,0.070197
101,100,2,600,0.503056,0.58765,0.237494,0.093318,0.068476,0.095038,0.069206,0.093753,0.068506,0.08655,0.069377,0.087443,0.075216,0.088353,0.068392,0.107495
1,100,2,600,0.017029,0.000183,0.002836,9.8e-05,0.004733,0.00298,0.005098,0.000642,0.004692,0.000172,0.004431,0.000131,0.00348,0.000856,0.003475,0.000544
21,100,2,600,0.304429,0.025372,0.012568,0.003937,0.006183,0.005478,0.006014,0.005394,0.005934,0.0039,0.006334,0.003902,0.005925,0.005531,0.005902,0.004864
41,100,2,600,0.31526,0.092582,0.036667,0.015129,0.01432,0.017622,0.014516,0.016371,0.014357,0.014407,0.01482,0.014389,0.014393,0.017439,0.014339,0.01635
61,100,2,600,0.365123,0.20019,0.08591,0.0319,0.028534,0.036294,0.028493,0.035084,0.030067,0.030055,0.028889,0.032017,0.028363,0.036049,0.030668,0.032899
81,100,2,600,0.41493,0.352795,0.128522,0.055517,0.046929,0.070927,0.048278,0.059011,0.046289,0.055973,0.047938,0.054259,0.046918,0.061867,0.047964,0.058694
101,100,2,600,0.475553,0.548393,0.225196,0.093576,0.06841,0.094746,0.07358,0.087484,0.077344,0.079492,0.068853,0.086329,0.06868,0.095079,0.068697,0.09318
1,100,2,600,0.004447,9.6e-05,0.003208,9.8e-05,0.002042,0.00246,0.002082,0.000334,0.002004,8.5e-05,0.002455,8.4e-05,0.002033,0.000607,0.002026,0.000379
21,100,2,600,0.009682,0.005355,0.053114,0.003891,0.008065,0.007086,0.008778,0.0068,0.008465,0.006845,0.009657,0.005987,0.00852,0.007093,0.008672,0.007531
41,100,2,600,0.013279,0.019611,0.142262,0.014823,0.022595,0.024403,0.022935,0.025802,0.022532,0.021881,0.023807,0.024242,0.022916,0.026732,0.022943,0.024017
61,100,2,600,0.020368,0.043179,0.293779,0.032639,0.046082,0.0532,0.043351,0.053314,0.046236,0.049783,0.047589,0.049476,0.046058,0.053892,0.039454,0.053416
81,100,2,600,0.028418,0.075176,0.722761,0.055015,0.075998,0.092666,0.078455,0.090862,0.077604,0.095943,0.079242,0.085895,0.079623,0.089692,0.077627,0.091944
101,100,2,600,0.038518,0.117927,2.89988,0.096109,0.116312,0.134264,0.1121,0.141532,0.113791,0.132144,0.115102,0.131928,0.114736,0.140302,0.113031,0.140885
1,100,2,600,0.011936,0.000147,0.002175,9.9e-05,0.00214,0.000612,0.002098,0.000357,0.002099,0.000106,0.002106,8.5e-05,0.0021,0.000659,0.002107,0.000401
21,100,2,600,0.030504,0.008934,0.035614,0.004006,0.005524,0.004723,0.005588,0.004403,0.005531,0.004227,0.005946,0.003755,0.005373,0.004685,0.005324,0.004431
41,100,2,600,0.081692,0.054161,0.303267,0.014997,0.01415,0.015988,0.014188,0.015563,0.013614,0.014298,0.014153,0.014233,0.0138,0.015774,0.013813,0.015461
61,100,2,600,0.111145,0.114034,0.366047,0.032219,0.028469,0.034561,0.028056,0.034629,0.029511,0.030235,0.028077,0.032399,0.027522,0.034601,0.027697,0.034506
81,100,2,600,0.137897,0.199458,0.99175,0.055883,0.045639,0.059563,0.045962,0.059318,0.045617,0.055588,0.046436,0.055457,0.045687,0.06004,0.045755,0.059478
101,100,2,600,0.205884,0.349088,2.16336,0.093085,0.067617,0.092181,0.068197,0.091717,0.066982,0.085992,0.0681,0.085391,0.069421,0.089471,0.069325,0.098203
1,100,2,600,0.009422,0.000134,0.002211,9.9e-05,0.002205,0.001564,0.002175,0.000236,0.00216,8.4e-05,0.002156,9.4e-05,0.002173,0.000396,0.00216,0.00027
21,100,2,600,0.01043,0.005902,0.034488,0.004137,0.005835,0.004503,0.005543,0.004355,0.005509,0.004281,0.005937,0.003873,0.005397,0.004668,0.005446,0.004424
41,100,2,600,0.013906,0.019693,0.321754,0.016523,0.016833,0.019289,0.016434,0.018948,0.016763,0.017796,0.017761,0.018098,0.01725,0.019948,0.017187,0.019488
61,100,2,600,0.024845,0.052364,0.477769,0.03939,0.032963,0.041892,0.033257,0.041492,0.033082,0.038815,0.033785,0.038994,0.033403,0.042327,0.033107,0.041997
81,100,2,600,0.035013,0.091518,0.970592,0.068189,0.055067,0.072045,0.055982,0.070434,0.054275,0.068013,0.055488,0.067616,0.05764,0.069303,0.057286,0.069397
