Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,2,600,0.027849,0.000241,0.003919,0.000129,0.003588,0.000128,0.005482,0.001355,0.00574,0.000511,0.007411,0.000216,0.005999,0.000169,0.00584,0.001122,0.005702,0.000592
21,90,2,600,0.21531,0.024908,0.058234,0.004867,0.060658,0.004602,0.007302,0.006121,0.007459,0.005733,0.007373,0.00467,0.007735,0.004301,0.007066,0.006158,0.007097,0.00543
41,90,2,600,0.319665,0.120065,0.27722,0.022239,0.267307,0.023754,0.023288,0.025025,0.021807,0.024171,0.022077,0.021851,0.022146,0.022212,0.02147,0.025603,0.021723,0.024203
61,90,2,600,0.27136,0.254975,0.402058,0.05692,0.381798,0.047932,0.03983,0.050576,0.040162,0.04929,0.04212,0.04405,0.040326,0.047077,0.039763,0.050156,0.038745,0.04909
81,90,2,600,0.393229,0.493645,1.16151,0.086071,0.668745,0.079794,0.064529,0.086412,0.061559,0.086369,0.061591,0.089864,0.062875,0.082109,0.062533,0.088997,0.062431,0.086965
101,90,2,600,0.415569,0.731883,2.97216,0.137259,0.925318,0.130213,0.099922,0.131147,0.095076,0.133091,0.098585,0.122125,0.095821,0.12909,0.095213,0.137419,0.095448,0.135076
1,90,2,600,0.02423,0.000309,0.003974,0.000149,0.003772,0.000142,0.005437,0.001039,0.005561,0.000617,0.007339,0.000252,0.006011,0.000185,0.00548,0.001158,0.005519,0.000844
21,90,2,600,0.299284,0.036427,0.043619,0.005685,0.046443,0.005715,0.007894,0.007546,0.008741,0.006609,0.007664,0.005459,0.00887,0.005295,0.007984,0.007474,0.008072,0.006587
41,90,2,600,0.263138,0.126937,0.199068,0.0229,0.275299,0.02292,0.02308,0.025218,0.022532,0.023045,0.021268,0.022159,0.022181,0.022093,0.021278,0.028208,0.021152,0.024105
61,90,2,600,0.302238,0.278999,0.434505,0.049779,0.376612,0.049641,0.04169,0.053479,0.041549,0.052944,0.04114,0.050297,0.04254,0.049975,0.041162,0.053689,0.043948,0.049763
81,90,2,600,0.344197,0.487551,0.895107,0.085261,0.60466,0.085387,0.065311,0.090022,0.063654,0.091984,0.06506,0.084849,0.065991,0.084232,0.064823,0.090652,0.066156,0.099373
101,90,2,600,0.474225,0.804204,0.915931,0.135466,1.22254,0.137473,0.092524,0.13561,0.097965,0.127682,0.093237,0.126739,0.093826,0.127417,0.094441,0.134876,0.09309,0.134224
1,90,2,600,0.013331,0.000226,0.002805,0.000139,0.002704,0.000141,0.002683,0.000772,0.002695,0.000505,0.002678,0.000119,0.002704,0.000118,0.002675,0.000806,0.002728,0.00047
21,90,2,600,0.057066,0.016287,0.134284,0.005525,0.089229,0.005712,0.007336,0.00631,0.007153,0.006071,0.007367,0.005424,0.008145,0.005558,0.007326,0.006278,0.007478,0.006025
41,90,2,600,0.067545,0.063083,0.407786,0.022028,0.339024,0.022397,0.020414,0.023533,0.020359,0.022208,0.01998,0.021498,0.022032,0.020124,0.020346,0.023362,0.020804,0.023126
61,90,2,600,0.111504,0.161476,0.9356,0.049043,0.546658,0.047448,0.039809,0.054019,0.03938,0.051241,0.040578,0.046331,0.042141,0.046851,0.039516,0.05114,0.039488,0.051515
81,90,2,600,0.048053,0.158873,2.29484,0.084446,0.890079,0.085355,0.064429,0.087172,0.065753,0.085303,0.061958,0.083114,0.06334,0.082824,0.066701,0.083492,0.067006,0.08307
