Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,0.031824,0.000279,0.004465,0.00014,0.007133,0.001095,0.006949,0.000654,0.008892,0.000261,0.007127,0.000199,0.006907,0.001166,0.007012,0.000756
21,100,0.27859,0.029291,0.03585,0.005555,0.008613,0.007873,0.008545,0.006486,0.007769,0.005401,0.009055,0.005369,0.008133,0.007178,0.007947,0.006461
41,100,0.39763,0.135709,0.364927,0.025923,0.021836,0.029482,0.021778,0.027939,0.021842,0.02641,0.021929,0.026341,0.021582,0.029637,0.021225,0.028602
61,100,0.312405,0.332502,0.229803,0.063269,0.043595,0.064699,0.044512,0.061809,0.043775,0.060461,0.046046,0.057586,0.044139,0.063603,0.044561,0.061725
81,100,0.517013,0.688967,0.286945,0.110919,0.07358,0.113647,0.072134,0.110953,0.073279,0.106136,0.072733,0.104851,0.074385,0.11254,0.073247,0.112498
101,100,0.478669,0.968454,0.58712,0.17404,0.107,0.17471,0.106236,0.18532,0.10558,0.164503,0.10711,0.164099,0.10742,0.173742,0.107394,0.184764
1,100,0.028757,0.000375,0.00453,0.000182,0.00649,0.004819,0.006859,0.0008,0.008872,0.000313,0.007297,0.000234,0.006549,0.001426,0.006557,0.000902
21,100,0.386929,0.047284,0.030031,0.00718,0.009812,0.009125,0.009999,0.008094,0.008725,0.007542,0.010045,0.007305,0.008899,0.009536,0.009,0.008242
41,100,0.311626,0.158725,0.140845,0.026613,0.021391,0.029504,0.022135,0.028833,0.021605,0.026572,0.021791,0.026028,0.020857,0.029742,0.02034,0.027649
61,100,0.347845,0.361927,0.222543,0.05915,0.045602,0.063506,0.04397,0.062064,0.04286,0.059936,0.044918,0.058171,0.043692,0.065155,0.042785,0.0627
81,100,0.407049,0.633291,0.288191,0.1059,0.070383,0.110479,0.070618,0.107447,0.073198,0.10557,0.073624,0.105703,0.072871,0.112649,0.0733,0.110139
101,100,0.542131,1.04798,0.576647,0.172674,0.111685,0.168915,0.10648,0.171212,0.106633,0.176803,0.108085,0.163902,0.106081,0.172947,0.106027,0.171159
1,100,0.015772,0.000268,0.003453,0.000201,0.003343,0.00094,0.003298,0.00374,0.003425,0.000161,0.003381,0.000152,0.003367,0.001029,0.003383,0.000645
21,100,0.069916,0.021768,0.059945,0.006993,0.008613,0.008165,0.008249,0.007885,0.008418,0.00745,0.009682,0.006962,0.008754,0.008188,0.008354,0.007741
41,100,0.075486,0.07908,0.200959,0.026468,0.021032,0.02798,0.020562,0.027366,0.020742,0.026681,0.021682,0.026461,0.020606,0.027819,0.021227,0.027612
61,100,0.119518,0.211305,0.316635,0.060428,0.043053,0.062805,0.043736,0.06204,0.042729,0.059625,0.044315,0.05853,0.043066,0.061912,0.042432,0.061306
81,100,0.052368,0.211083,0.664264,0.114094,0.072273,0.111329,0.071326,0.109775,0.070844,0.106205,0.073235,0.106078,0.071201,0.108639,0.072568,0.110321
101,100,0.134321,0.483997,1.05207,0.173742,0.106137,0.171041,0.105506,0.169072,0.105132,0.163692,0.106515,0.164168,0.10501,0.170912,0.105421,0.170808
1,100,0.00789,0.000171,0.004719,0.000179,0.002973,0.000945,0.002948,0.000578,0.002975,0.00015,0.003739,0.000156,0.002971,0.001031,0.002938,0.000652
21,100,0.014552,0.01077,0.072336,0.007385,0.013282,0.012872,0.012994,0.011761,0.013245,0.012047,0.015443,0.011135,0.013065,0.013339,0.013235,0.011903
41,100,0.017724,0.039476,0.173256,0.026581,0.032565,0.043154,0.033819,0.042369,0.033297,0.041203,0.03508,0.041343,0.033147,0.043718,0.033323,0.044107
61,100,0.024515,0.090591,0.380919,0.058736,0.069705,0.095659,0.065129,0.097804,0.068661,0.091862,0.070853,0.091786,0.069302,0.095247,0.06902,0.104009
81,100,0.03271,0.158514,0.7544,0.105744,0.117972,0.165792,0.115364,0.168888,0.115546,0.164371,0.119385,0.163683,0.116338,0.167157,0.115555,0.168717
101,100,0.044809,0.242141,0.838726,0.162103,0.175676,0.256447,0.173679,0.261437,0.174383,0.250922,0.171651,0.253213,0.169887,0.262296,0.171748,0.261362
1,100,0.016724,0.000267,0.006056,0.000275,0.011303,0.000678,0.006119,0.000477,0.005241,0.000231,0.006084,0.000233,0.005919,0.000728,0.005858,0.000504
21,100,0.148483,0.032532,0.034123,0.007436,0.009437,0.009196,0.009492,0.008357,0.008818,0.007194,0.010074,0.007307,0.008976,0.009193,0.009263,0.008006
41,100,0.163655,0.118599,0.158181,0.02651,0.021554,0.02929,0.022151,0.028232,0.021326,0.026634,0.022696,0.026478,0.02129,0.031142,0.022009,0.028096
61,100,0.223849,0.301751,0.199382,0.059809,0.04351,0.063756,0.043222,0.0604,0.044159,0.059289,0.044891,0.060781,0.041678,0.064219,0.044121,0.062407
81,100,0.253321,0.537053,0.274479,0.105471,0.072897,0.113694,0.072858,0.111175,0.07249,0.106518,0.072811,0.106753,0.076223,0.10914,0.071845,0.111796
101,100,0.309612,0.807258,1.13042,0.174947,0.109618,0.170451,0.108006,0.190041,0.106548,0.163598,0.107095,0.164141,0.106807,0.173507,0.105211,0.169712
1,100,0.006931,0.000177,0.004959,0.000189,0.003121,0.000974,0.00317,0.000602,0.003154,0.000157,0.00382,0.000153,0.003096,0.001062,0.003073,0.000679
