Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,600,0.015908,0.000138,0.002417,7.6e-05,0.003657,0.000543,0.003761,0.00034,0.004805,0.000139,0.003823,0.000115,0.003767,0.000609,0.003759,0.000392
21,100,2,600,0.157118,0.016397,0.02015,0.003157,0.005062,0.004082,0.004697,0.003809,0.00451,0.003051,0.005091,0.003052,0.004751,0.004094,0.004635,0.003682
41,100,2,600,0.289562,0.080709,0.117268,0.012648,0.01083,0.013662,0.014559,0.018172,0.0153,0.019085,0.025738,0.016003,0.01701,0.017692,0.016289,0.015746
61,100,2,600,0.308241,0.203323,0.159242,0.031454,0.029958,0.034312,0.030285,0.033808,0.029924,0.032095,0.031978,0.031216,0.030674,0.036358,0.055539,0.041244
81,100,2,600,0.24271,0.27704,0.24981,0.051618,0.041787,0.052836,0.04293,0.050835,0.041367,0.04945,0.04233,0.049688,0.040972,0.052421,0.040396,0.051492
101,100,2,600,0.317951,0.431127,0.349603,0.086688,0.067494,0.086519,0.081498,0.10027,0.073431,0.084863,0.067568,0.080738,0.058928,0.079577,0.060944,0.080206
1,100,2,600,0.014767,0.000162,0.002428,8.5e-05,0.003571,0.002432,0.003518,0.000468,0.0048,0.000152,0.003881,0.000111,0.003559,0.000738,0.003556,0.000462
21,100,2,600,0.150412,0.018224,0.016406,0.003304,0.004952,0.004406,0.004889,0.003852,0.00474,0.003111,0.005163,0.0033,0.004679,0.004437,0.004686,0.003909
41,100,2,600,0.20274,0.071748,0.090519,0.012068,0.011264,0.015307,0.010987,0.01295,0.010568,0.012104,0.011209,0.012071,0.010599,0.013572,0.01061,0.012919
61,100,2,600,0.25764,0.187555,0.172259,0.032589,0.026882,0.034615,0.024805,0.028821,0.027469,0.029349,0.031684,0.032423,0.029134,0.035076,0.030866,0.035473
81,100,2,600,0.453249,0.364087,0.240878,0.052422,0.041574,0.053555,0.045351,0.049344,0.040138,0.048884,0.04208,0.050194,0.039248,0.054902,0.042526,0.052271
101,100,2,600,0.345476,0.450487,0.367275,0.086184,0.080752,0.090805,0.081277,0.099686,0.075207,0.085886,0.065708,0.096004,0.063276,0.081253,0.064233,0.076575
1,100,2,600,0.008655,0.000127,0.001777,8.4e-05,0.001742,0.000462,0.001756,0.001933,0.001725,7.6e-05,0.001706,8e-05,0.001708,0.000514,0.001734,0.000322
21,100,2,600,0.035992,0.008837,0.032271,0.003449,0.004315,0.003713,0.004281,0.003529,0.004314,0.003308,0.004899,0.003303,0.004299,0.003954,0.004275,0.003579
