Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,2,600,0.021254,0.000258,0.006641,0.00023,0.006371,0.000235,0.005753,0.001321,0.00587,0.00083,0.005452,0.000223,0.006032,0.000206,0.005448,0.001473,0.005388,0.000845
21,90,2,600,0.265481,0.031504,0.04097,0.00608,0.03392,0.005475,0.009307,0.007608,0.00947,0.006606,0.009176,0.005371,0.009729,0.006053,0.008991,0.00755,0.009163,0.007044
41,90,2,600,0.342835,0.124472,0.150793,0.027071,0.138939,0.027398,0.025049,0.030551,0.022542,0.023206,0.021391,0.022017,0.022274,0.022011,0.021285,0.02505,0.021985,0.026716
61,90,2,600,0.265308,0.25638,0.280777,0.050926,0.358539,0.053052,0.041648,0.048849,0.039868,0.05076,0.039935,0.046349,0.039745,0.04594,0.039816,0.049892,0.039343,0.050207
81,90,2,600,0.322407,0.455355,0.795796,0.084929,0.60748,0.080093,0.063374,0.080652,0.061463,0.086427,0.061275,0.081017,0.062775,0.07785,0.063281,0.083441,0.061754,0.084711
101,90,2,600,0.344156,0.65638,1.37821,0.136621,1.23798,0.122944,0.093616,0.150246,0.094065,0.139513,0.094405,0.128434,0.095463,0.128786,0.099701,0.130901,0.098672,0.132002
1,90,2,600,0.020863,0.000307,0.003875,0.000143,0.00372,0.00014,0.007078,0.001689,0.007,0.000968,0.007038,0.000261,0.005681,0.000191,0.007005,0.001638,0.006927,0.001096
21,90,2,600,0.440478,0.045057,0.035473,0.005717,0.027328,0.005888,0.008149,0.007234,0.008195,0.00676,0.007852,0.005369,0.008996,0.005355,0.007604,0.007273,0.008002,0.006434
41,90,2,600,0.386326,0.146799,0.210313,0.022399,0.142241,0.02329,0.021229,0.025653,0.021978,0.024436,0.021027,0.021892,0.022396,0.022116,0.021205,0.024941,0.021036,0.024007
61,90,2,600,0.564953,0.369846,0.390584,0.05126,0.353813,0.04985,0.040531,0.053716,0.041063,0.052784,0.040615,0.048845,0.042127,0.048564,0.040332,0.053085,0.041079,0.052401
81,90,2,600,0.542486,0.611078,0.466498,0.085852,0.440965,0.084544,0.064422,0.089827,0.06473,0.089478,0.064292,0.084572,0.066332,0.08611,0.065629,0.092513,0.064704,0.091308
101,90,2,600,0.68863,0.986533,0.898224,0.124599,0.86807,0.129063,0.096615,0.136871,0.09627,0.137827,0.09743,0.122973,0.096293,0.130276,0.095045,0.137721,0.094515,0.136131
1,90,2,600,0.022623,0.000287,0.003834,0.000146,0.003675,0.000138,0.00782,0.001548,0.006681,0.000905,0.006018,0.000245,0.005699,0.000185,0.005962,0.001511,0.004443,0.000692
21,90,2,600,0.370773,0.039571,0.028345,0.005676,0.028101,0.005654,0.008082,0.007864,0.008105,0.006861,0.007766,0.005333,0.00851,0.005397,0.00792,0.007275,0.007989,0.006493
41,90,2,600,0.411039,0.14691,0.119939,0.022129,0.113013,0.023436,0.020746,0.024621,0.023084,0.022601,0.021487,0.021321,0.021715,0.021418,0.021146,0.024959,0.020565,0.023538
61,90,2,600,0.453345,0.329005,0.160851,0.048609,0.191873,0.048486,0.04189,0.053709,0.043619,0.049915,0.041084,0.04925,0.042692,0.046568,0.041286,0.051884,0.040566,0.054482
81,90,2,600,0.508081,0.564618,0.404322,0.085171,0.370283,0.083748,0.064573,0.089198,0.066828,0.083862,0.06348,0.082728,0.063191,0.082242,0.06503,0.089677,0.068003,0.085555
101,90,2,600,0.570139,0.86348,0.643457,0.129526,0.722103,0.128266,0.093961,0.134994,0.093443,0.148414,0.09289,0.12588,0.099835,0.119332,0.095125,0.147249,0.094382,0.136763
1,90,2,600,0.006172,0.000144,0.004389,0.000149,0.004404,0.000144,0.002802,0.000978,0.002743,0.000447,0.002688,0.00012,0.003333,0.000124,0.002736,0.000824,0.002788,0.000596
21,90,2,600,0.01246,0.008423,0.102684,0.005623,0.091195,0.006123,0.011331,0.010557,0.011959,0.009542,0.011869,0.008543,0.013537,0.008716,0.012021,0.010323,0.011912,0.009964
41,90,2,600,0.01735,0.032052,0.426684,0.024993,0.355921,0.02214,0.033967,0.036604,0.033183,0.035361,0.033866,0.033036,0.035589,0.034096,0.032202,0.036017,0.031762,0.035132
61,90,2,600,0.02595,0.070573,0.763742,0.049646,0.503109,0.048848,0.066059,0.076647,0.066554,0.079698,0.065094,0.075722,0.065687,0.075316,0.064401,0.079982,0.067049,0.076545
81,90,2,600,0.021689,0.132021,4.28364,0.092096,1.11787,0.084128,0.100316,0.135955,0.100533,0.137591,0.101301,0.127751,0.104828,0.125568,0.102864,0.135957,0.102942,0.13543
