Fichier, Gamma, tau, time_master_classic, time_subproblem_classic, time_master_matrix, time_subproblem_matrix, time_master_augmented, time_subproblem_augmented, time_master_augmented_HOG, time_subproblem_augmented_HOG
toy_instances/toy_instance_1.txt,1,0,0.002443,1.6e-05,0.00064,1e-05,0.000626,1.4e-05,0.000542,0.000138
toy_instances/toy_instance_1.txt,1,20,0.00079,4.7e-05,0.000659,6e-06,0.00038,1.2e-05,0.000647,0.000214
toy_instances/toy_instance_1.txt,1,40,0.001053,1.5e-05,0.000364,7e-06,0.000476,1.2e-05,0.000494,0.000162
toy_instances/toy_instance_1.txt,1,60,0.000578,1.7e-05,0.000679,6e-06,0.000368,8e-06,0.000472,0.000189
toy_instances/toy_instance_1.txt,1,80,0.00068,1.6e-05,0.000376,7e-06,0.0004,1.3e-05,0.000379,0.00017
toy_instances/toy_instance_1.txt,1,100,0.000876,3.6e-05,0.000819,1.2e-05,0.000579,1.4e-05,0.000553,0.0002
toy_instances/toy_instance_1.txt,11,0,0.000742,0.000222,0.000847,0.000197,0.000752,0.000184,0.000713,0.002032
toy_instances/toy_instance_1.txt,11,20,0.002279,0.000306,0.00108,0.000147,0.000732,0.000202,0.001259,0.001643
toy_instances/toy_instance_1.txt,11,40,0.0007,0.000215,0.001362,0.000179,0.001055,0.000178,0.001969,0.001513
toy_instances/toy_instance_1.txt,11,60,0.001434,0.000187,0.001041,0.000145,0.000852,8.4e-05,0.000763,0.000992
toy_instances/toy_instance_1.txt,11,80,0.001068,9.8e-05,0.000949,7.8e-05,0.00087,7.8e-05,0.000429,0.001102
toy_instances/toy_instance_1.txt,11,100,0.00226,0.000212,0.001255,0.000112,0.00134,0.000153,0.001172,0.001679
toy_instances/toy_instance_1.txt,21,0,0.000731,0.000311,0.000956,0.000199,0.0013,0.000222,0.000735,0.00116
toy_instances/toy_instance_1.txt,21,20,0.001855,0.000666,0.001898,0.00086,0.000923,0.000213,0.000534,0.00107
toy_instances/toy_instance_1.txt,21,40,0.000929,0.000715,0.001126,0.000259,0.000669,0.000262,0.001773,0.002515
toy_instances/toy_instance_1.txt,21,60,0.001016,0.000318,0.00062,0.000198,0.000516,0.000202,0.000522,0.001047
toy_instances/toy_instance_1.txt,21,80,0.000658,0.000291,0.000883,0.000244,0.00069,0.000229,0.000485,0.001657
toy_instances/toy_instance_1.txt,21,100,0.001287,0.000644,0.001526,0.000441,0.000704,0.000225,0.000483,0.000933
toy_instances/toy_instance_1.txt,31,0,0.000489,0.000622,0.00118,0.000765,0.000927,0.000507,0.003486,0.00404
