Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.004192,0.000127,0.001832,0.000166,0.001435,0.000121,0.001722,0.000443,0.002509,0.000721
1,0,0.003318,0.000188,0.003018,0.00023,0.002339,0.00023,0.002244,0.000577,0.004296,0.001062
1,0,0.00316,0.000246,0.002243,0.000244,0.001919,0.000275,0.003705,0.00099,0.002702,0.000907
1,0,0.002319,0.000137,0.001431,0.000132,0.001173,0.000109,0.001115,0.000275,0.003971,0.001001
1,0,0.003442,0.000103,0.001862,0.000159,0.00167,0.000144,0.001454,0.000383,0.00342,0.001041
1,0,0.004495,0.000259,0.001376,0.000106,0.001225,8.9e-05,0.0013,0.000229,0.001481,0.000589
1,0,0.004869,0.000304,0.001976,0.000113,0.002585,0.000261,0.001568,0.000404,0.001201,0.000437
1,0,0.002565,0.000215,0.003085,0.00028,0.004455,0.000247,0.001748,0.000412,0.001477,0.000564
1,0,0.001945,0.000159,0.003138,0.000259,0.004355,0.000187,0.002152,0.000554,0.001734,0.000536
1,0,0.003239,0.000169,0.003113,0.000155,0.00292,0.000235,0.001272,0.000299,0.001576,0.000579
1,20,0.001869,0.000141,0.003513,0.000331,0.001272,0.000168,0.003186,0.000348,0.001271,0.000458
1,20,0.002603,0.000104,0.001552,0.000172,0.001236,9.7e-05,0.003268,0.000622,0.00346,0.000534
1,20,0.002458,0.000144,0.001519,0.000117,0.001331,0.000128,0.001233,0.000347,0.002942,0.000973
1,20,0.004524,0.00017,0.001401,0.000144,0.001653,0.00014,0.001077,0.000264,0.00153,0.000567
1,20,0.006661,0.000321,0.00156,0.000147,0.002286,0.000186,0.001237,0.000354,0.00143,0.000533
1,20,0.004305,0.000362,0.001697,0.00014,0.00367,0.000179,0.001337,0.000233,0.001164,0.00062
1,20,0.002424,0.00017,0.00394,0.00021,0.003925,0.000272,0.001105,0.000237,0.001099,0.000441
1,20,0.002119,0.000116,0.004435,0.000324,0.001555,0.000139,0.002395,0.000557,0.001157,0.000573
1,20,0.002091,0.000107,0.001482,0.000125,0.001709,0.000124,0.004171,0.000954,0.002397,0.000655
1,20,0.001911,9.3e-05,0.001585,0.000107,0.001655,0.000146,0.001065,0.000242,0.003035,0.001072
1,40,0.003748,0.000191,0.001584,0.000108,0.001717,0.000114,0.001053,0.000229,0.00146,0.000592
1,40,0.006806,0.000361,0.001918,0.00014,0.00189,0.000158,0.00121,0.000225,0.001137,0.000681
1,40,0.004984,0.000199,0.001444,0.000106,0.003075,0.00017,0.00147,0.000312,0.001194,0.000554
1,40,0.002364,0.000153,0.003643,0.000299,0.004096,0.000334,0.001352,0.000353,0.001336,0.000446
1,40,0.002144,0.000107,0.004906,0.000267,0.001702,0.000149,0.002628,0.0004,0.001138,0.000554
1,40,0.002294,0.000149,0.001941,0.000318,0.00112,0.000102,0.004321,0.000676,0.003078,0.00074
1,40,0.002657,0.000114,0.001551,0.000144,0.001285,0.000125,0.00473,0.00078,0.002699,0.000695
1,40,0.002396,9.3e-05,0.001491,0.000106,0.001272,0.00012,0.001562,0.000781,0.003337,0.001092
1,40,0.002346,0.000102,0.001768,0.000127,0.001084,0.000109,0.001266,0.000293,0.001241,0.000645
1,40,0.005246,0.000163,0.001766,0.000166,0.001976,0.000112,0.001136,0.000318,0.001408,0.000549
1,60,0.003111,0.000222,0.002959,0.000209,0.003833,0.000207,0.001295,0.000264,0.001183,0.000566
1,60,0.002159,0.00013,0.003704,0.000337,0.001292,9.3e-05,0.003062,0.000402,0.001353,0.000563
1,60,0.002264,9.5e-05,0.001556,0.000165,0.001167,0.000136,0.002995,0.000609,0.004064,0.000818
1,60,0.002664,0.000135,0.001697,0.000133,0.001218,8.8e-05,0.001655,0.000484,0.003814,0.000534
1,60,0.003152,0.000102,0.001458,0.000136,0.001178,0.000131,0.001299,0.000304,0.00134,0.000506
1,60,0.005491,0.000183,0.001457,0.000106,0.002046,0.000102,0.001135,0.000338,0.001301,0.000465
1,60,0.00193,9.2e-05,0.003621,0.000254,0.002393,0.000183,0.002119,0.000403,0.0012,0.000682
1,60,0.002213,9e-05,0.002574,0.000283,0.001126,0.000165,0.003009,0.00043,0.00223,0.000561
1,60,0.001966,0.000115,0.001517,0.000146,0.001305,0.000101,0.001159,0.000336,0.002796,0.000725
