Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.023087,0.000216,0.003059,0.000127,0.003198,0.000106,0.003022,0.001055,0.003011,0.011452
1,0,0.00655,0.000109,0.004317,0.000129,0.00303,0.000105,0.003055,0.000873,0.003035,0.011062
1,0,0.013386,0.000165,0.003057,0.000135,0.003079,0.000109,0.003044,0.000918,0.003049,0.006877
1,0,0.006161,0.000112,0.004476,0.000132,0.002693,0.000111,0.002698,0.000924,0.002677,0.011164
1,0,0.012194,0.000178,0.00301,0.00013,0.003033,0.000121,0.002965,0.000831,0.002992,0.010934
1,0,0.011834,0.000175,0.002745,0.00013,0.002805,0.00011,0.002753,0.000979,0.002735,0.011139
1,0,0.006009,0.000112,0.004305,0.000132,0.003043,0.000111,0.003114,0.00103,0.003232,0.011414
1,0,0.006267,0.000113,0.004141,0.000133,0.002973,0.000112,0.002976,0.000788,0.002991,0.010897
1,0,0.012024,0.000169,0.003032,0.000131,0.003038,0.000112,0.003017,0.000821,0.003023,0.010767
1,0,0.011987,0.00017,0.002986,0.000132,0.002976,0.00012,0.002933,0.000868,0.00297,0.011556
1,0,0.013119,0.000167,0.002908,0.000139,0.002922,0.00011,0.002858,0.000868,0.002904,0.011059
1,0,0.005753,0.000112,0.003995,0.000134,0.00276,0.00011,0.002763,0.001098,0.003069,0.011467
1,0,0.021898,0.000225,0.003817,0.000136,0.007325,0.000232,0.007347,0.000521,0.003771,0.000989
1,0,0.01289,0.000171,0.002707,0.00013,0.002751,0.000112,0.002704,0.000802,0.002726,0.010718
1,0,0.005555,0.000114,0.0042,0.000133,0.002927,0.000111,0.002892,0.000816,0.002899,0.010911
1,0,0.006205,0.000113,0.004305,0.000133,0.002766,0.000112,0.002792,0.000809,0.002727,0.010982
1,0,0.013177,0.000184,0.005739,0.000204,0.00537,0.000173,0.005358,0.001286,0.005698,0.016239
1,0,0.022951,0.00023,0.004081,0.000143,0.00808,0.000233,0.008059,0.001057,0.004109,0.004334
1,0,0.006103,0.000119,0.004032,0.000134,0.002934,0.000112,0.002937,0.000879,0.002905,0.011053
1,0,0.022133,0.000238,0.003853,0.000137,0.007449,0.000237,0.007464,0.001601,0.007447,0.021716
1,0,0.013517,0.00017,0.003011,0.000133,0.003043,0.000114,0.003009,0.000781,0.002987,0.008248
1,0,0.006199,0.000114,0.004463,0.000135,0.002995,0.000113,0.003035,0.000824,0.003002,0.01097
1,0,0.02345,0.00023,0.003949,0.000135,0.007647,0.000247,0.007678,0.001245,0.003963,0.00449
1,0,0.02251,0.000228,0.004091,0.000136,0.007836,0.000236,0.00783,0.000953,0.004084,0.004299
1,0,0.005908,0.000115,0.004075,0.000134,0.002688,0.000113,0.002683,0.000965,0.002792,0.011227
1,0,0.005837,0.000113,0.003931,0.000134,0.002707,0.000112,0.002686,0.00106,0.002673,0.011443
1,0,0.006083,0.000115,0.004114,0.000136,0.002759,0.000113,0.002757,0.00086,0.002731,0.011026
1,0,0.01309,0.000171,0.005363,0.000204,0.004525,0.000175,0.004475,0.001474,0.004489,0.016916
1,0,0.012759,0.000169,0.005437,0.000203,0.004611,0.000174,0.004629,0.001459,0.005442,0.016574
1,0,0.005508,0.000115,0.004394,0.000133,0.003121,0.000114,0.003151,0.000803,0.003238,0.010896
1,0,0.01238,0.000171,0.003056,0.000141,0.003076,0.000123,0.003046,0.000605,0.003069,0.006323
1,0,0.006195,0.000115,0.004241,0.000135,0.003002,0.000113,0.002987,0.00093,0.003188,0.011122
1,0,0.024182,0.000238,0.004163,0.000139,0.007638,0.00024,0.007649,0.001788,0.00766,0.022824
1,0,0.022649,0.000226,0.005166,0.000203,0.006186,0.000237,0.006121,0.002247,0.006152,0.02306
1,0,0.006264,0.000113,0.004322,0.000132,0.002986,0.000111,0.002971,0.000853,0.00315,0.010942
1,0,0.011986,0.000169,0.002795,0.000131,0.002806,0.00012,0.002756,0.000642,0.002761,0.00692
1,0,0.012001,0.000169,0.002631,0.000131,0.002676,0.000111,0.00263,0.000866,0.002654,0.010926
1,0,0.012918,0.000182,0.002993,0.000147,0.003005,0.000112,0.003,0.000876,0.002994,0.011044
1,0,0.012464,0.00017,0.002963,0.000132,0.002996,0.000113,0.002966,0.00073,0.00298,0.008214
1,0,0.005994,0.000114,0.00423,0.000136,0.003038,0.000114,0.003003,0.00091,0.003003,0.011109
1,0,0.012074,0.000182,0.003023,0.000132,0.003014,0.000114,0.002999,0.000902,0.003027,0.011003
1,0,0.006129,0.000113,0.00428,0.000136,0.002967,0.000114,0.002966,0.000817,0.002956,0.010925
1,0,0.005575,0.000114,0.004383,0.000134,0.002918,0.000113,0.002891,0.000898,0.003045,0.011066
1,0,0.021603,0.000228,0.003874,0.000134,0.007172,0.000243,0.007195,0.00062,0.003881,0.002001
1,0,0.012082,0.00017,0.005307,0.000204,0.004693,0.000183,0.004669,0.001304,0.00467,0.016641
1,0,0.012372,0.00017,0.002987,0.000132,0.003014,0.000112,0.002997,0.000853,0.00302,0.008459
1,0,0.006225,0.000113,0.004114,0.000135,0.0028,0.000112,0.002806,0.000905,0.002777,0.011091
1,0,0.023944,0.000228,0.00574,0.000202,0.006583,0.000243,0.006586,0.001824,0.0066,0.02222
1,0,0.005746,0.000111,0.004184,0.000132,0.002968,0.00011,0.002957,0.001452,0.003126,0.006897
1,0,0.011935,0.000164,0.0027,0.000127,0.002749,0.00011,0.002662,0.000826,0.002669,0.007007
1,0,0.020945,0.000214,0.005239,0.000194,0.006121,0.000239,0.006063,0.0015,0.006011,0.02005
1,0,0.019451,0.000206,0.003385,0.000121,0.007001,0.00021,0.006938,0.000859,0.003367,0.00377
1,0,0.019606,0.000231,0.003281,0.000118,0.006574,0.000212,0.006529,0.001734,0.00485,0.014392
1,0,0.010361,0.00015,0.004454,0.000168,0.003802,0.000147,0.003759,0.001269,0.004424,0.011013
1,0,0.019177,0.000185,0.003831,0.000116,0.006001,0.00019,0.00598,0.001591,0.005903,0.01787
1,0,0.018119,0.000193,0.002881,0.000103,0.005877,0.000179,0.005919,0.001179,0.005885,0.016449
1,0,0.009753,0.000128,0.002214,9.8e-05,0.00224,9.1e-05,0.002186,0.000415,0.002189,0.004639
1,0,0.017121,0.000168,0.002948,9.8e-05,0.005795,0.00017,0.005749,0.000378,0.002986,0.000735
1,0,0.016137,0.000173,0.00393,0.000149,0.005448,0.000169,0.005432,0.000915,0.003931,0.004561
1,0,0.00442,8.2e-05,0.002913,0.000105,0.001937,8.7e-05,0.001962,0.000662,0.001921,0.008145
1,0,0.015278,0.000175,0.002546,9.7e-05,0.00527,0.000168,0.005265,0.000267,0.002561,0.000351
1,0,0.008354,0.000122,0.00213,9.6e-05,0.002167,8.1e-05,0.002144,0.000562,0.002142,0.006043
1,0,0.016408,0.000166,0.002783,0.000105,0.005258,0.00017,0.00531,0.00126,0.003948,0.012046
1,0,0.009095,0.000123,0.002145,9.5e-05,0.002184,8.2e-05,0.002145,0.000474,0.002155,0.004667
1,0,0.016693,0.000168,0.002739,0.0001,0.005421,0.00017,0.005391,0.001489,0.002742,0.008351
1,0,0.016054,0.000165,0.004209,0.000147,0.005833,0.000191,0.005825,0.000234,0.004207,0.00023
1,0,0.009911,0.000122,0.001917,9.6e-05,0.001942,8.2e-05,0.001893,0.000678,0.001898,0.008162
1,0,0.00988,0.000123,0.003983,0.000147,0.003333,0.000128,0.00334,0.000975,0.003993,0.011958
1,0,0.008612,0.000125,0.002168,9.6e-05,0.002221,8.2e-05,0.002166,0.000777,0.002198,0.008339
1,0,0.016266,0.000164,0.002791,9.9e-05,0.005366,0.000169,0.005347,0.001564,0.004014,0.01248
1,0,0.009113,0.000131,0.002122,9.5e-05,0.002166,8.3e-05,0.002124,0.000349,0.002146,0.001387
1,0,0.008992,0.000126,0.00394,0.000156,0.003308,0.000127,0.003341,0.000884,0.003962,0.009434
1,0,0.008739,0.000132,0.002127,9.5e-05,0.002176,8.2e-05,0.002144,0.000736,0.002157,0.006302
1,0,0.016314,0.000166,0.003055,0.000101,0.005973,0.000183,0.005941,0.001233,0.004678,0.011961
1,0,0.017349,0.000167,0.0028,9.9e-05,0.005518,0.000172,0.005459,0.001426,0.005633,0.016457
1,0,0.009888,0.000127,0.004067,0.000148,0.003385,0.000135,0.00338,0.000888,0.00338,0.011936
1,0,0.008533,0.000123,0.00218,9.6e-05,0.002228,8.2e-05,0.002201,0.000418,0.002203,0.004402
1,0,0.004273,8.2e-05,0.002943,9.7e-05,0.002141,8.1e-05,0.002146,0.000583,0.002144,0.007997
1,0,0.016046,0.000166,0.002809,0.0001,0.006006,0.00018,0.005959,0.000259,0.002802,0.00035
1,0,0.004534,8.2e-05,0.003046,0.000106,0.00218,8e-05,0.002188,0.000702,0.002308,0.008244
1,0,0.003794,8e-05,0.003115,9.7e-05,0.002214,8.7e-05,0.002216,0.000818,0.002371,0.00842
1,0,0.009173,0.000125,0.002205,9.8e-05,0.002227,8.1e-05,0.002186,0.000645,0.002168,0.007895
1,0,0.009867,0.000126,0.004105,0.00015,0.003408,0.000127,0.00338,0.001146,0.003352,0.012881
1,0,0.008732,0.000122,0.003827,0.000149,0.003697,0.000125,0.003679,0.000638,0.003856,0.004466
1,0,0.009668,0.000124,0.004015,0.00015,0.003898,0.000127,0.00392,0.00064,0.004014,0.00447
1,0,0.004434,8.3e-05,0.003253,9.7e-05,0.002199,8.1e-05,0.002211,0.000571,0.002196,0.007969
1,0,0.009039,0.000122,0.003884,0.000148,0.00391,0.000125,0.003889,0.000182,0.003862,0.000321
1,0,0.016896,0.000168,0.003068,9.9e-05,0.005809,0.000172,0.005793,0.001268,0.005791,0.016186
1,0,0.004195,8.2e-05,0.003024,9.7e-05,0.002138,8.1e-05,0.002142,0.000621,0.002271,0.008
