Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.035958,0.000408,0.005181,0.000271,0.008498,0.005167,0.007696,0.000293,0.005333,0.000195,0.007676,0.006312
1,0,0.018923,0.000307,0.004929,0.000223,0.004313,0.002003,0.003874,0.000198,0.004821,0.000301,0.006221,0.002361
1,0,0.015806,0.000236,0.004492,0.000171,0.005784,0.004278,0.003792,0.000154,0.006316,0.000245,0.004797,0.003338
1,0,0.016112,0.000339,0.002528,0.000112,0.004235,0.003391,0.003626,0.000156,0.002456,0.000102,0.002494,0.002023
1,0,0.016366,0.000466,0.004913,0.000217,0.003741,0.003469,0.004627,0.000195,0.004188,0.0002,0.003774,0.003218
1,0,0.009891,0.000284,0.005932,0.000217,0.004111,0.004965,0.003707,0.000173,0.004544,0.000181,0.005106,0.003698
1,0,0.010028,0.000265,0.00662,0.000238,0.004317,0.004876,0.0046,0.000189,0.005682,0.000185,0.004777,0.004382
1,0,0.0201,0.000366,0.008917,0.000352,0.006683,0.005509,0.007263,0.000292,0.007717,0.000286,0.006451,0.005282
1,0,0.009776,0.000239,0.006426,0.000244,0.004994,0.003969,0.004379,0.000195,0.008145,0.000206,0.004712,0.003855
1,0,0.027464,0.000568,0.00795,0.000405,0.006866,0.006996,0.013222,0.000306,0.008254,0.0003,0.012581,0.010389
1,0,0.027897,0.000412,0.00761,0.000205,0.006009,0.006149,0.004276,0.000193,0.015587,0.000212,0.011964,0.004367
1,0,0.080237,0.000489,0.014731,0.00028,0.023232,0.019708,0.017217,0.000488,0.012886,0.003547,0.02091,0.011995
1,0,0.029258,0.000425,0.004836,0.000223,0.008616,0.004431,0.004564,0.000193,0.008237,0.000297,0.004709,0.003959
1,0,0.012823,0.000248,0.010733,0.000255,0.004563,0.00399,0.008562,0.000663,0.005423,0.000189,0.004791,0.009063
1,0,0.02668,0.000375,0.004571,0.000294,0.003836,0.007762,0.004443,0.000186,0.004161,0.000187,0.008161,0.004103
1,0,0.025834,0.000422,0.004796,0.000227,0.004018,0.007937,0.004308,0.000189,0.004125,0.000181,0.004729,0.008396
1,0,0.024484,0.000388,0.004503,0.000232,0.004257,0.003705,0.005217,0.000197,0.004211,0.000186,0.004164,0.004589
1,0,0.008553,0.00027,0.006842,0.000229,0.004578,0.004136,0.004233,0.000172,0.006905,0.000208,0.004366,0.003838
1,0,0.020839,0.000383,0.004674,0.000254,0.00433,0.002301,0.005572,0.000207,0.004391,0.000199,0.004186,0.002677
1,0,0.019539,0.000403,0.003896,0.000227,0.003857,0.004619,0.004336,0.000193,0.003784,0.00018,0.003904,0.004448
1,20,0.036924,0.000531,0.008065,0.000355,0.011178,0.007653,0.010331,0.000429,0.009345,0.000317,0.010968,0.006645
1,20,0.02082,0.000367,0.008779,0.000402,0.006851,0.004508,0.007229,0.000286,0.007779,0.000402,0.007275,0.003474
1,20,0.01988,0.000377,0.008727,0.000364,0.006857,0.00638,0.006487,0.000288,0.009181,0.000319,0.007502,0.005576
1,20,0.020911,0.000379,0.004152,0.000223,0.004702,0.004133,0.004366,0.000195,0.004193,0.000174,0.0053,0.003565
1,20,0.020101,0.000374,0.004454,0.000489,0.004935,0.004101,0.004267,0.000199,0.004946,0.0002,0.004359,0.00378
1,20,0.009252,0.000243,0.006379,0.000247,0.004991,0.004537,0.004247,0.000206,0.005101,0.000208,0.004877,0.004112
1,20,0.010093,0.000311,0.00669,0.000255,0.004314,0.004793,0.004698,0.000191,0.005828,0.000192,0.004743,0.004799
1,20,0.021293,0.000442,0.009028,0.000488,0.007145,0.006157,0.00693,0.000328,0.008397,0.00032,0.006842,0.005952
1,20,0.009786,0.000287,0.006549,0.000311,0.004516,0.004285,0.004267,0.000197,0.006376,0.00021,0.004412,0.004076
1,20,0.019907,0.000464,0.008218,0.000424,0.007376,0.007223,0.0065,0.000297,0.008857,0.000303,0.007042,0.007283
1,20,0.019169,0.000378,0.003879,0.000221,0.004201,0.004057,0.004188,0.000229,0.00407,0.000205,0.004565,0.003605
1,20,0.037092,0.000519,0.005937,0.000256,0.011519,0.00849,0.01074,0.000453,0.00938,0.000316,0.010936,0.008179
1,20,0.018135,0.000435,0.005157,0.000224,0.004708,0.004325,0.005419,0.00025,0.004689,0.000208,0.004441,0.004537
