Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKOPT, time_subproblem_KCRDKOPT, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.040491,0.000433,0.005917,0.000214,0.005886,0.004199,0.006218,0.001154,0.00883,0.000616,0.008446,0.000313,0.006953,0.007935
1,0,0.013997,0.000235,0.005768,0.000223,0.00649,0.00202,0.004591,0.000777,0.006256,0.000254,0.005032,0.000177,0.004932,0.005804
1,0,0.013257,0.000355,0.006093,0.000271,0.003793,0.002187,0.006293,0.001595,0.003797,0.000172,0.004432,0.000153,0.005121,0.006786
1,0,0.015626,0.000262,0.002571,0.000118,0.002855,0.003175,0.004651,0.001238,0.00391,0.000178,0.004808,0.000196,0.004571,0.005454
1,0,0.018061,0.000395,0.004858,0.000227,0.004358,0.00267,0.003673,0.001217,0.003701,0.000205,0.003908,0.000184,0.003788,0.006205
1,0,0.008406,0.000211,0.003828,0.000135,0.003984,0.003151,0.004043,0.001407,0.004137,0.000195,0.005048,0.000222,0.004169,0.006624
1,0,0.009719,0.000281,0.005958,0.00024,0.004153,0.003591,0.00463,0.001642,0.004101,0.000207,0.005894,0.000251,0.004385,0.005861
1,0,0.02076,0.000385,0.010503,0.000351,0.006785,0.004476,0.006708,0.00274,0.007191,0.000346,0.00814,0.000405,0.006907,0.009063
1,0,0.009938,0.000274,0.006785,0.000245,0.004716,0.002739,0.004331,0.001563,0.005281,0.000217,0.006117,0.000195,0.00512,0.006182
1,0,0.019612,0.000455,0.008311,0.000402,0.006592,0.005092,0.007341,0.002983,0.006779,0.000351,0.008943,0.000335,0.007643,0.010145
1,0,0.018921,0.000406,0.004871,0.00032,0.004146,0.002339,0.005068,0.002717,0.004285,0.000195,0.003769,0.000187,0.004346,0.006116
1,0,0.036044,0.000513,0.005476,0.000257,0.011056,0.007626,0.01115,0.003454,0.011287,0.000418,0.009553,0.000462,0.011178,0.011963
1,0,0.056758,0.004511,0.01613,0.000229,0.009035,0.004356,0.013369,0.001703,0.009802,0.00032,0.010936,0.000209,0.005083,0.006813
1,0,0.008827,0.000304,0.006987,0.000261,0.004632,0.003329,0.005039,0.001526,0.00458,0.000217,0.006477,0.00021,0.004593,0.005777
1,0,0.018095,0.000599,0.004941,0.000288,0.004115,0.003315,0.005081,0.001829,0.004222,0.000206,0.00422,0.000217,0.005392,0.004822
1,0,0.016982,0.000449,0.004393,0.000242,0.006982,0.003901,0.013091,0.002543,0.010915,0.00024,0.011867,0.000215,0.008857,0.018252
1,0,0.021327,0.00039,0.004805,0.000261,0.004602,0.002791,0.004286,0.001425,0.00496,0.000213,0.004158,0.000185,0.00478,0.005996
1,0,0.00767,0.000233,0.00653,0.000277,0.004455,0.002862,0.004281,0.001599,0.004943,0.000223,0.005485,0.000185,0.004812,0.005948
1,0,0.018452,0.000384,0.004308,0.00022,0.004666,0.001907,0.004363,0.000864,0.004297,0.000195,0.004819,0.000249,0.004415,0.003121
1,0,0.017813,0.000394,0.003721,0.000241,0.004284,0.00248,0.003808,0.001326,0.003872,0.000205,0.004347,0.000227,0.003741,0.005068
1,20,0.057311,0.000524,0.010585,0.000338,0.015267,0.009335,0.012562,0.002404,0.014726,0.000444,0.021606,0.000662,0.014085,0.011078
1,20,0.029929,0.00116,0.010199,0.000427,0.016961,0.006116,0.012998,0.00137,0.010339,0.000304,0.012175,0.000331,0.018504,0.009481
1,20,0.035723,0.001228,0.007565,0.000368,0.00672,0.004324,0.007716,0.00195,0.006911,0.000326,0.007336,0.000319,0.006767,0.008388
1,20,0.019887,0.00044,0.004556,0.000222,0.004297,0.002894,0.004776,0.001499,0.00429,0.000183,0.003996,0.000206,0.004476,0.005939
1,20,0.01802,0.000375,0.003837,0.00023,0.004536,0.002856,0.00398,0.001258,0.003753,0.000209,0.00448,0.000208,0.004119,0.00529
1,20,0.008675,0.000284,0.005833,0.000239,0.004365,0.00299,0.004084,0.001395,0.003729,0.00018,0.005013,0.000227,0.004109,0.005396
1,20,0.009605,0.000262,0.005798,0.00025,0.004574,0.003835,0.004285,0.001549,0.004094,0.00019,0.006238,0.000206,0.004517,0.006028
1,20,0.027729,0.000419,0.01088,0.000393,0.013887,0.008932,0.021515,0.002275,0.014961,0.000319,0.014392,0.000341,0.010512,0.013654
1,20,0.013023,0.000262,0.008363,0.000232,0.00801,0.005793,0.013016,0.001739,0.004603,0.002715,0.009676,0.000223,0.004787,0.013881
1,20,0.030642,0.000391,0.017355,0.000413,0.007493,0.005645,0.00716,0.002935,0.006663,0.000302,0.008451,0.000348,0.006994,0.010107
