Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,0,0.015967,0.000143,0.002869,0.000225,0.003217,0.002895,0.003283,0.000857,0.002352,0.000111,0.002296,0.000151,0.003646,0.005716,0.002538,0.00196
1,0,0.013908,0.000199,0.002168,0.000114,0.002975,0.002569,0.003288,0.001597,0.002752,0.000103,0.002017,0.000117,0.003105,0.005207,0.003307,0.002378
1,0,0.013328,0.000195,0.004335,0.000197,0.005006,0.004766,0.006349,0.001698,0.004204,0.000245,0.005349,0.000218,0.004285,0.005228,0.004814,0.004355
1,0,0.012664,0.000208,0.004314,0.000223,0.004342,0.002942,0.00441,0.001877,0.00372,0.000199,0.005163,0.000323,0.004045,0.007661,0.006059,0.004802
1,0,0.023239,0.000324,0.005283,0.000297,0.006338,0.003719,0.005131,0.001567,0.005495,0.00025,0.005066,0.0002,0.004974,0.005705,0.005261,0.003667
1,0,0.01126,0.000204,0.002511,0.000143,0.003605,0.001134,0.002429,0.000494,0.002616,0.000165,0.003117,0.000115,0.00275,0.003746,0.002354,0.001271
1,0,0.005794,0.000124,0.005058,0.000316,0.002687,0.001647,0.002847,0.001261,0.002339,0.000107,0.003709,0.000216,0.002576,0.003452,0.002472,0.00292
1,0,0.011213,0.00015,0.003103,0.000148,0.002283,0.002772,0.002942,0.0009,0.002169,9.4e-05,0.002526,0.000125,0.002982,0.002883,0.003493,0.00158
1,0,0.012067,0.00039,0.00282,0.000189,0.002137,0.001668,0.002977,0.001081,0.002154,0.000108,0.00321,0.000173,0.002586,0.00337,0.002646,0.002852
1,0,0.013061,0.000246,0.002667,0.000142,0.003063,0.002767,0.00243,0.000676,0.002575,0.000144,0.002952,0.000119,0.002998,0.004761,0.002418,0.001741
1,0,0.00545,0.000235,0.004501,0.000189,0.002376,0.001582,0.00339,0.001105,0.002335,9.2e-05,0.003896,0.000257,0.002895,0.003235,0.002959,0.002897
1,0,0.01214,0.000238,0.002319,0.000149,0.00246,0.003134,0.002641,0.000791,0.002414,0.000139,0.002815,9.6e-05,0.003003,0.004829,0.00226,0.002419
1,0,0.006104,0.00019,0.004087,0.00012,0.002954,0.001816,0.003033,0.001352,0.002536,0.000146,0.004115,0.000153,0.002961,0.004083,0.00316,0.002547
1,0,0.012991,0.000276,0.002723,0.000189,0.003023,0.002172,0.003022,0.001259,0.0025,0.000141,0.002527,0.00012,0.002977,0.005104,0.00278,0.00294
1,0,0.005824,0.000247,0.003576,0.000141,0.002719,0.002461,0.002595,0.000872,0.003576,0.00017,0.003161,0.000127,0.00276,0.004271,0.00346,0.003172
1,0,0.012389,0.000455,0.005023,0.000183,0.004806,0.002104,0.00495,0.001315,0.003646,0.00021,0.00466,0.000186,0.004737,0.004685,0.004782,0.002395
1,0,0.006117,0.000126,0.003144,0.00014,0.002934,0.002276,0.002604,0.000784,0.003548,0.000178,0.003379,0.000127,0.00289,0.003892,0.003297,0.003605
1,0,0.012553,0.000302,0.005055,0.00022,0.004029,0.003859,0.004781,0.002395,0.004174,0.000356,0.00436,0.000177,0.004056,0.00833,0.004178,0.004822
1,0,0.023695,0.000305,0.003268,0.000165,0.006681,0.004584,0.007242,0.0021,0.006464,0.000343,0.00576,0.000308,0.006956,0.008593,0.007538,0.004864
