Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,0.017131,0.000147,0.005673,0.000381,0.004769,0.000248,0.003834,0.000236
1,100,1,0.014364,0.000246,0.002623,0.000198,0.003704,0.000151,0.003318,0.000213
1,100,1,0.024817,0.000438,0.008922,0.000389,0.006805,0.00038,0.008848,0.000423
1,100,1,0.013714,0.000236,0.003651,0.000248,0.004103,0.000265,0.006224,0.000342
1,100,1,0.005209,9.2e-05,0.002006,0.000131,0.003351,0.00019,0.003975,0.000192
1,100,1,0.012668,0.00022,0.004695,0.000232,0.003723,0.000226,0.004539,0.000393
1,100,1,0.007703,0.000173,0.002362,0.000142,0.002381,0.000109,0.003167,0.000149
1,100,1,0.024547,0.000414,0.005908,0.000398,0.007063,0.000265,0.004768,0.000286
1,100,1,0.024525,0.000483,0.005474,0.000302,0.007241,0.000395,0.00638,0.000329
1,100,1,0.020168,0.000359,0.008536,0.000501,0.005533,0.000254,0.008653,0.000369
1,100,1,0.010775,0.000209,0.004335,0.000186,0.002335,0.000159,0.002183,0.000118
1,100,1,0.012306,0.000193,0.003587,0.000255,0.00352,0.000243,0.006581,0.000407
1,100,1,0.023304,0.000302,0.00924,0.000436,0.005996,0.000263,0.009103,0.000343
1,100,1,0.012849,0.00021,0.003213,0.000123,0.002299,0.000108,0.002296,0.000115
1,100,1,0.006107,0.00017,0.004118,0.000278,0.002307,0.000107,0.002204,0.000137
1,100,1,0.025784,0.000463,0.005797,0.000291,0.007623,0.00042,0.006903,0.000252
1,100,1,0.013306,0.000293,0.003384,0.000268,0.003715,0.000247,0.00582,0.000306
1,100,1,0.004869,0.000107,0.002282,0.000161,0.002643,0.000145,0.003645,0.000195
1,100,1,0.011194,0.000199,0.003609,0.000279,0.002872,0.000139,0.002025,0.000169
1,100,1,0.011852,0.000332,0.003834,0.000251,0.00339,0.000185,0.005379,0.00037
1,100,1,0.005849,0.000117,0.002028,0.000124,0.002097,0.000134,0.003221,0.000207
1,100,1,0.01217,0.000292,0.006333,0.000443,0.003641,0.000175,0.003358,0.000213
1,100,1,0.006543,0.000167,0.00292,0.000143,0.001974,0.000109,0.001993,0.000118
1,100,1,0.023083,0.000442,0.007837,0.00027,0.008018,0.000325,0.007667,0.000316
1,100,1,0.012683,0.000226,0.002273,0.000136,0.002047,0.000107,0.002168,0.000145
1,100,1,0.013626,0.000245,0.005238,0.000489,0.004814,0.000243,0.003459,0.000215
1,100,1,0.013255,0.000251,0.002226,0.000136,0.002281,0.000121,0.002835,0.000215
