Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,500,500,0.00655,0.001582,0.006492,0.00032,0.004501,2.91081
1,100,1000,500,0.005042,0.000938,0.00549,0.000261,0.004717,2.90516
1,100,1500,500,0.005768,0.000954,0.00519,0.000329,0.005128,2.99716
11,100,500,500,0.007409,0.002428,0.009077,0.004132,0.00755,1.06078
11,100,1000,500,0.007119,0.00306,0.007185,0.001727,0.006694,1.04609
11,100,1500,500,0.006364,0.002586,0.005507,0.001701,0.006119,0.994572
21,100,500,500,0.015701,0.007441,0.009993,0.007247,0.008153,1.96918
21,100,1000,500,0.01077,0.00764,0.008675,0.005576,0.008802,1.96019
21,100,1500,500,0.009522,0.007272,0.010302,0.004504,0.007912,1.9342
31,100,500,500,0.013591,0.013604,0.010446,0.010762,0.013574,1.93778
31,100,1000,500,0.012221,0.013071,0.010424,0.011033,0.013437,1.92754
31,100,1500,500,0.014714,0.012132,0.011874,0.010587,0.01207,1.93996
41,100,500,500,0.019288,0.024176,0.017102,0.018573,0.017076,2.0603
41,100,1000,500,0.020691,0.033156,0.016039,0.020047,0.016862,2.1974
41,100,1500,500,0.020937,0.022769,0.01484,0.018352,0.019013,2.00922
51,100,500,500,0.028885,0.037581,0.026729,0.030454,0.025456,2.19677
51,100,1000,500,0.023867,0.034792,0.025905,0.027501,0.035562,2.20798
51,100,1500,500,0.036256,0.043546,0.023189,0.033737,0.023468,2.18839
61,100,500,500,0.047038,0.06521,0.028575,0.039699,0.043788,2.22789
61,100,1000,500,0.034156,0.048001,0.030216,0.038194,0.030459,2.05895
61,100,1500,500,0.035124,0.053399,0.046254,0.067856,0.041608,2.32294
71,100,500,500,0.04421,0.067533,0.048959,0.054237,0.040535,2.16922
71,100,1000,500,0.054408,0.073723,0.057033,0.071648,0.047431,2.27643
71,100,1500,500,0.056528,0.083547,0.037816,0.053803,0.058171,2.24118
81,100,500,500,0.07166,0.088273,0.05923,0.072814,0.046511,2.09924
81,100,1000,500,0.06657,0.093729,0.058631,0.090998,0.048701,2.31532
81,100,1500,500,0.049234,0.064808,0.057066,0.112942,0.064405,2.54269
91,100,500,500,0.084722,0.12293,0.065807,0.115015,0.0568,2.2973
91,100,1000,500,0.057755,0.092916,0.083799,0.119239,0.077711,2.36247
91,100,1500,500,0.056886,0.091202,0.05353,0.085084,0.061967,2.34103
1,100,500,500,0.003142,0.00211,0.002664,0.000214,0.003718,2.4609
