Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,0.007836,0.000811,0.004398,0.00084
1,80,0.00428,0.001321,0.004564,0.001776
1,80,0.004091,0.002157,0.004239,0.002498
1,80,0.004191,0.000624,0.004155,0.001441
1,80,0.004165,0.001221,0.004146,0.002724
1,80,0.004228,0.001915,0.004399,0.004604
1,80,0.004481,0.000671,0.004322,0.002415
1,80,0.004302,0.001372,0.004125,0.004577
1,80,0.004545,0.00191,0.004364,0.007243
1,80,0.004318,0.000633,0.004121,0.00369
1,80,0.004168,0.001062,0.00457,0.007206
1,80,0.004547,0.001761,0.004409,0.011255
1,80,0.004647,0.000662,0.004352,0.005168
1,80,0.004369,0.001173,0.004368,0.010255
1,80,0.004299,0.001761,0.004581,0.015961
1,90,0.004506,0.000639,0.004264,0.000888
1,90,0.004177,0.001059,0.004168,0.001635
1,90,0.004103,0.001667,0.004408,0.002638
1,90,0.004103,0.000595,0.00435,0.001448
1,90,0.0041,0.001015,0.004113,0.002839
1,90,0.003963,0.001812,0.004349,0.004515
1,90,0.004048,0.0006,0.004385,0.002374
1,90,0.004128,0.000977,0.004259,0.004609
1,90,0.004206,0.001842,0.004213,0.006968
1,90,0.004459,0.000619,0.004249,0.003633
1,90,0.00427,0.001159,0.004532,0.007263
1,90,0.00419,0.0019,0.004467,0.011227
1,90,0.004356,0.000686,0.004418,0.005248
1,90,0.004165,0.001073,0.004315,0.010272
1,90,0.004503,0.001909,0.004402,0.015516
1,100,0.004385,0.000615,0.004144,0.000937
1,100,0.004432,0.001073,0.004262,0.001609
1,100,0.004304,0.001914,0.004079,0.002623
1,100,0.004079,0.000552,0.003987,0.001455
1,100,0.004216,0.0012,0.004011,0.002755
1,100,0.004445,0.001996,0.004188,0.004435
1,100,0.004356,0.000624,0.003892,0.002363
1,100,0.004182,0.001161,0.004186,0.004558
1,100,0.004354,0.001569,0.004536,0.007172
1,100,0.004369,0.000626,0.004399,0.003622
1,100,0.004482,0.001099,0.004236,0.007173
1,100,0.004461,0.00166,0.004365,0.01108
1,100,0.004467,0.000753,0.004071,0.005173
1,100,0.004286,0.001223,0.004423,0.010256
1,100,0.004446,0.002161,0.004671,0.015557
11,80,0.008045,0.002943,0.006649,0.00288
11,80,0.006825,0.00363,0.00683,0.003947
11,80,0.006594,0.004465,0.007059,0.005131
11,80,0.006514,0.002931,0.006781,0.003503
11,80,0.006662,0.003454,0.006633,0.005321
11,80,0.006854,0.004619,0.006329,0.006923
11,80,0.006618,0.002545,0.006662,0.004545
11,80,0.006659,0.003532,0.006849,0.007575
11,80,0.004528,0.002837,0.004602,0.006599
11,80,0.00512,0.001671,0.004406,0.003827
11,80,0.004496,0.002626,0.004689,0.006301
11,80,0.004805,0.003027,0.004767,0.009224
11,80,0.004318,0.00199,0.004774,0.004789
11,80,0.004669,0.002681,0.004422,0.008211
11,80,0.004402,0.003277,0.004385,0.011846
11,90,0.004545,0.001775,0.004033,0.001854
11,90,0.003673,0.002222,0.004192,0.00287
11,90,0.00441,0.002985,0.004126,0.003823
11,90,0.004432,0.001948,0.004063,0.002365
11,90,0.003991,0.002241,0.004658,0.003425
11,90,0.003829,0.002367,0.004407,0.004599
11,90,0.004453,0.002013,0.004239,0.003073
11,90,0.004942,0.002794,0.005053,0.004735
11,90,0.004754,0.002962,0.00363,0.005683
11,90,0.003258,0.001554,0.003333,0.00351
11,90,0.003376,0.001948,0.003325,0.005798
11,90,0.003352,0.002271,0.003379,0.008256
11,90,0.003318,0.001526,0.003382,0.004555
11,90,0.003351,0.001978,0.003355,0.007958
11,90,0.003433,0.002305,0.00456,0.01267
11,100,0.004727,0.002115,0.00474,0.00215
11,100,0.004647,0.002407,0.004253,0.002621
11,100,0.004937,0.003014,0.004807,0.003863
11,100,0.004338,0.001692,0.004505,0.00261
11,100,0.004799,0.002536,0.004765,0.00363
11,100,0.004754,0.003028,0.004911,0.005162
11,100,0.00474,0.001931,0.004374,0.003029
11,100,0.004374,0.00213,0.003249,0.004035
11,100,0.00347,0.002226,0.003852,0.00657
11,100,0.005554,0.001986,0.00412,0.003574
11,100,0.00404,0.002451,0.004249,0.006102
11,100,0.004828,0.00288,0.004431,0.008717
11,100,0.005592,0.002213,0.004679,0.004587
11,100,0.004571,0.00242,0.004511,0.008737
11,100,0.004851,0.003182,0.004626,0.012764
21,80,0.010021,0.006428,0.010184,0.007101
21,80,0.01005,0.007782,0.010175,0.008348
21,80,0.010876,0.007978,0.009894,0.008995
21,80,0.009818,0.006546,0.009271,0.007298
21,80,0.010614,0.007745,0.009553,0.008443
21,80,0.010699,0.008289,0.009919,0.010054
21,80,0.010227,0.006993,0.011041,0.007825
21,80,0.010253,0.007417,0.009842,0.010245
21,80,0.011269,0.007549,0.010004,0.012931
21,80,0.009973,0.008173,0.010277,0.009089
21,80,0.010777,0.007027,0.010672,0.012796
21,80,0.010704,0.008979,0.010681,0.014197
21,80,0.009869,0.007897,0.011133,0.010831
21,80,0.010675,0.00729,0.010439,0.013979
21,80,0.010513,0.010101,0.010695,0.01711
21,90,0.00996,0.00689,0.009857,0.007133
21,90,0.009853,0.008936,0.011025,0.008485
21,90,0.011319,0.008096,0.010146,0.008963
21,90,0.009419,0.007241,0.009432,0.007792
21,90,0.009628,0.008093,0.009552,0.00905
21,90,0.011072,0.008716,0.011767,0.010028
21,90,0.010444,0.006621,0.009883,0.008593
21,90,0.01107,0.007784,0.011009,0.009679
21,90,0.010604,0.00964,0.010347,0.012838
21,90,0.010671,0.006173,0.010692,0.009966
21,90,0.010313,0.008534,0.011323,0.013502
21,90,0.010706,0.008737,0.010299,0.014637
21,90,0.008785,0.00721,0.010388,0.010196
21,90,0.010505,0.007825,0.009388,0.013023
21,90,0.011063,0.007994,0.006894,0.014104
21,100,0.005014,0.004135,0.004776,0.003886
21,100,0.005374,0.004178,0.004993,0.004318
21,100,0.005088,0.004482,0.005432,0.006869
21,100,0.009422,0.00709,0.009941,0.00658
21,100,0.008922,0.006583,0.009427,0.008212
21,100,0.009579,0.008701,0.00891,0.010744
21,100,0.006322,0.004039,0.008258,0.006585
21,100,0.008347,0.006625,0.009794,0.010748
21,100,0.009365,0.008849,0.010204,0.011798
21,100,0.008241,0.005369,0.010303,0.008409
21,100,0.009265,0.00769,0.010078,0.011291
21,100,0.009339,0.008587,0.010242,0.01466
21,100,0.00975,0.006541,0.009052,0.009379
21,100,0.010022,0.006959,0.009923,0.013422
21,100,0.00982,0.009015,0.009726,0.017195
31,80,0.020787,0.017638,0.020353,0.01662
31,80,0.020775,0.015274,0.018391,0.017258
31,80,0.020193,0.017208,0.019315,0.017869
31,80,0.020135,0.015254,0.01849,0.020554
31,80,0.01845,0.017026,0.020111,0.017726
31,80,0.019781,0.017527,0.019557,0.019072
31,80,0.018938,0.016979,0.019637,0.018377
31,80,0.0188,0.017293,0.01782,0.019411
31,80,0.019697,0.01753,0.019527,0.021284
31,80,0.018489,0.016142,0.020128,0.018038
31,80,0.014481,0.016773,0.01584,0.017076
31,80,0.008215,0.008199,0.007903,0.014312
31,80,0.007961,0.007857,0.017076,0.019171
31,80,0.017482,0.016085,0.016532,0.020025
31,80,0.018577,0.014527,0.020623,0.026553
31,90,0.017094,0.017424,0.019544,0.016914
31,90,0.019569,0.017859,0.01861,0.014796
31,90,0.018032,0.017208,0.017928,0.017602
31,90,0.018472,0.01676,0.01886,0.017312
31,90,0.019874,0.016029,0.020038,0.020149
31,90,0.019498,0.018053,0.020686,0.019434
31,90,0.01991,0.015859,0.019773,0.018062
31,90,0.018596,0.015318,0.019657,0.01865
31,90,0.020833,0.018166,0.019613,0.021599
31,90,0.019994,0.016507,0.019439,0.018832
31,90,0.020377,0.018406,0.018032,0.021515
31,90,0.018678,0.019271,0.01945,0.024891
31,90,0.0195,0.016333,0.01913,0.018768
31,90,0.014385,0.016663,0.017274,0.018364
31,90,0.008186,0.008771,0.007807,0.01755
31,100,0.007796,0.008715,0.018131,0.013944
31,100,0.018087,0.018176,0.016579,0.015911
31,100,0.016098,0.014745,0.01978,0.017916
31,100,0.017206,0.01645,0.019671,0.017532
31,100,0.019077,0.021377,0.018578,0.01678
31,100,0.018055,0.017147,0.018496,0.018129
31,100,0.018392,0.017587,0.019115,0.017661
31,100,0.019878,0.019523,0.020482,0.019115
31,100,0.019114,0.018602,0.020562,0.020031
31,100,0.019105,0.017233,0.021349,0.017637
31,100,0.018158,0.016124,0.018966,0.021362
31,100,0.018833,0.02073,0.018824,0.023709
31,100,0.020635,0.016059,0.019214,0.0197
31,100,0.019983,0.017777,0.01722,0.023182
31,100,0.019225,0.01861,0.019221,0.026728
41,80,0.032296,0.030369,0.030179,0.030816
41,80,0.01359,0.014596,0.011662,0.014298
41,80,0.02316,0.025689,0.025636,0.027967
41,80,0.028778,0.033253,0.025106,0.030945
