Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,3,100,0.008978,0.000663,0.005299,0.000369
1,80,3,200,0.006482,0.001039,0.004943,0.000448
1,80,3,300,0.005001,0.001072,0.005598,0.000657
1,80,3,400,0.005351,0.001259,0.005554,0.001197
1,80,3,500,0.005001,0.001483,0.00694,0.00107
1,80,3,600,0.005504,0.002116,0.005724,0.001005
1,80,3,700,0.005537,0.002253,0.006029,0.001219
1,80,3,800,0.004575,0.001747,0.005443,0.001225
1,80,3,900,0.005493,0.002583,0.009558,0.003037
1,80,3,1000,0.00416,0.00196,0.005138,0.001446
1,80,3,1100,0.004405,0.002023,0.004878,0.001671
1,80,3,1200,0.005107,0.002848,0.004429,0.001915
1,80,3,1300,0.005043,0.003638,0.003985,0.00163
1,80,3,1400,0.005675,0.003676,0.004062,0.001408
1,80,5,100,0.0053,0.000698,0.004316,0.000519
1,80,5,200,0.00348,0.0008,0.006813,0.000999
1,80,5,300,0.004225,0.001066,0.004287,0.000969
1,80,5,400,0.00505,0.001746,0.004153,0.001056
1,80,5,500,0.00491,0.002053,0.005081,0.001412
1,80,5,600,0.003985,0.002154,0.006117,0.001803
1,80,5,700,0.003898,0.002427,0.005662,0.002179
1,80,5,800,0.004595,0.002624,0.005495,0.00249
1,80,5,900,0.004724,0.002523,0.005465,0.002646
1,80,5,1000,0.005278,0.003356,0.00551,0.002918
1,80,5,1100,0.005153,0.004619,0.005883,0.00269
1,80,5,1200,0.004523,0.005304,0.005446,0.002903
1,80,5,1300,0.005081,0.006466,0.004527,0.002566
1,80,5,1400,0.005637,0.006606,0.004655,0.004142
1,80,7,100,0.004954,0.00111,0.003814,0.000627
1,80,7,200,0.005078,0.001517,0.004298,0.001166
1,80,7,300,0.003461,0.001645,0.005829,0.001629
1,80,7,400,0.003851,0.002164,0.005377,0.002075
1,80,7,500,0.004025,0.002526,0.006114,0.002652
1,80,7,600,0.0042,0.003196,0.004646,0.002876
1,80,7,700,0.004701,0.003451,0.004701,0.003277
1,80,7,800,0.004807,0.004115,0.005442,0.003172
1,80,7,900,0.004581,0.004525,0.005012,0.004555
1,80,7,1000,0.005936,0.008103,0.008872,0.007155
1,80,7,1100,0.008918,0.008514,0.005506,0.005257
1,80,7,1200,0.006011,0.006987,0.006772,0.005989
1,80,7,1300,0.007287,0.008883,0.005444,0.006316
1,80,7,1400,0.007326,0.008467,0.006939,0.007613
1,80,9,100,0.006107,0.000971,0.004628,0.000994
1,80,9,200,0.005837,0.002408,0.005383,0.001817
1,80,9,300,0.006096,0.003215,0.005649,0.002654
1,80,9,400,0.004762,0.00407,0.005419,0.002953
1,80,9,500,0.004833,0.00401,0.00638,0.005841
1,80,9,600,0.004459,0.004979,0.005331,0.003877
1,80,9,700,0.004601,0.006326,0.004438,0.004081
1,80,9,800,0.005413,0.006605,0.00478,0.005193
1,80,9,900,0.005214,0.00653,0.005584,0.00566
1,80,9,1000,0.005786,0.008131,0.005108,0.006472
1,80,9,1100,0.005316,0.008479,0.005552,0.006271
1,80,9,1200,0.005467,0.009756,0.005698,0.007249
1,80,9,1300,0.005564,0.010745,0.005131,0.008018
1,80,9,1400,0.004781,0.011847,0.004514,0.008375
1,80,11,100,0.004773,0.001268,0.003581,0.001239
1,80,11,200,0.004839,0.00243,0.004186,0.00188
1,80,11,300,0.004664,0.003263,0.004529,0.003059
1,80,11,400,0.00475,0.005143,0.00457,0.003642
1,80,11,500,0.005151,0.005464,0.004321,0.004809
1,80,11,600,0.005245,0.006228,0.005474,0.006107
1,80,11,700,0.004508,0.00772,0.006449,0.008627
1,80,11,800,0.007577,0.00951,0.005698,0.0085
1,80,11,900,0.006093,0.010824,0.005516,0.009083
1,80,11,1000,0.005898,0.011424,0.005913,0.009559
1,80,11,1100,0.006141,0.013715,0.006593,0.010702
1,80,11,1200,0.005875,0.015126,0.005106,0.012068
1,80,11,1300,0.005461,0.016584,0.006401,0.012399
