Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,600,0.027769,0.000466,0.012265,0.000404,0.00767,0.000247,0.004719,0.00124,0.005097,0.001013,0.005524,0.000293,0.006666,0.000216,0.005491,0.001614,0.006239,0.001019
21,100,2,600,0.020601,0.018206,0.069018,0.008598,0.072868,0.010774,0.019255,0.022037,0.021343,0.022571,0.018902,0.025754,0.023068,0.017224,0.020452,0.024872,0.019137,0.020758
41,100,2,600,0.023554,0.078923,0.699187,0.052785,0.371007,0.084387,0.053516,0.090959,0.051045,0.084889,0.051533,0.074907,0.052836,0.079272,0.049601,0.083361,0.051694,0.083829
61,100,2,600,0.033363,0.193282,0.444819,0.103284,0.285178,0.064328,0.058214,0.101583,0.060279,0.101863,0.060846,0.100651,0.061782,0.097175,0.058458,0.101846,0.058186,0.101659
81,100,2,600,0.015744,0.183096,0.440575,0.114939,0.434505,0.109613,0.096486,0.175274,0.095567,0.17575,0.095909,0.169465,0.098585,0.167505,0.094105,0.174951,0.093455,0.172421
101,100,2,600,0.014601,0.270901,0.583073,0.170539,0.585255,0.163028,0.138711,0.263152,0.13836,0.263131,0.139285,0.255829,0.146772,0.255565,0.139913,0.267138,0.140497,0.266732
1,100,2,600,0.029315,0.00045,0.005985,0.000301,0.00685,0.000307,0.00838,0.003498,0.006523,0.000946,0.007923,0.000324,0.008539,0.000293,0.005616,0.001296,0.006406,0.00104
21,100,2,600,0.441041,0.068548,0.020438,0.007828,0.020618,0.007857,0.009578,0.010943,0.009488,0.010692,0.009489,0.007639,0.010966,0.007717,0.009504,0.010959,0.009405,0.009978
41,100,2,600,0.471281,0.233879,0.052168,0.0295,0.053112,0.0297,0.0221,0.032748,0.021721,0.031209,0.022027,0.028678,0.02243,0.028722,0.022014,0.0328,0.0214,0.031275
61,100,2,600,0.370702,0.456576,0.098504,0.061776,0.102088,0.061418,0.039611,0.066497,0.039715,0.065363,0.039333,0.061166,0.041055,0.061952,0.03941,0.067676,0.039443,0.066485
81,100,2,600,0.507475,0.901572,0.183245,0.107245,0.186074,0.107574,0.064428,0.11474,0.064116,0.112619,0.064502,0.107738,0.064329,0.106659,0.064417,0.115174,0.063942,0.112945
101,100,2,600,0.382298,1.20276,0.27937,0.164937,0.277596,0.163466,0.094434,0.17286,0.094032,0.171793,0.093827,0.163467,0.094095,0.16257,0.094217,0.174034,0.09346,0.17213
1,100,2,600,0.01396,0.000355,0.006095,0.000279,0.00651,0.000643,0.005306,0.001294,0.00608,0.00123,0.0056,0.00026,0.005682,0.000282,0.00639,0.001698,0.005343,0.001001
21,100,2,600,0.892312,0.090044,0.023193,0.008966,0.022592,0.007919,0.009395,0.010798,0.009586,0.010318,0.009186,0.008146,0.011033,0.007761,0.010033,0.010549,0.009008,0.009633
