Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.016008,0.000287,0.01975,0.000118,0.0032,0.000218,0.002276,0.000142,0.002272,0.000952,0.003705,0.000885,0.002694,0.00016,0.003013,0.000136,0.002516,0.00101,0.003083,0.000935
21,90,2,600,0.016978,0.011979,0.01958,0.005216,0.082746,0.005537,0.080076,0.006539,0.008991,0.009374,0.011112,0.007935,0.007915,0.010591,0.009673,0.005931,0.009839,0.006715,0.012867,0.007221
41,90,2,600,0.019326,0.035539,0.030387,0.02002,0.231748,0.031298,0.15356,0.027873,0.016327,0.031908,0.016285,0.028714,0.016176,0.027097,0.01729,0.026916,0.016385,0.029626,0.016169,0.028019
61,90,2,600,0.020054,0.076356,0.025406,0.039413,0.27923,0.048608,0.210523,0.047899,0.031727,0.049817,0.031643,0.049756,0.032235,0.047188,0.033701,0.04666,0.03356,0.047635,0.031483,0.048631
81,90,2,600,0.02442,0.125283,0.035128,0.064113,0.424163,0.089935,0.359553,0.082368,0.051374,0.088166,0.049823,0.082529,0.050042,0.079165,0.053537,0.077013,0.055404,0.083844,0.050015,0.082354
101,90,2,600,0.030672,0.181216,0.038901,0.091396,0.62697,0.116652,0.517029,0.116512,0.073747,0.123002,0.075745,0.122491,0.074999,0.12983,0.073684,0.118833,0.076212,0.132261,0.074591,0.121502
1,90,2,600,0.006195,0.000183,0.0071,0.000148,0.005287,0.000261,0.003298,0.000187,0.001917,0.000822,0.00211,0.000525,0.002931,0.000243,0.003132,0.000206,0.003207,0.001223,0.002014,0.000497
21,90,2,600,0.005804,0.007478,0.007683,0.003039,0.077972,0.009085,0.077819,0.007685,0.007938,0.006815,0.010385,0.010537,0.006587,0.006514,0.011763,0.005907,0.006772,0.009355,0.008565,0.007727
41,90,2,600,0.006891,0.024081,0.006644,0.014521,0.159534,0.025391,0.142978,0.030484,0.015944,0.02969,0.016117,0.027993,0.016045,0.027067,0.016446,0.029605,0.015877,0.029945,0.016277,0.029017
61,90,2,600,0.00934,0.052144,0.016424,0.025453,0.283945,0.04911,0.208406,0.047974,0.031906,0.049582,0.030814,0.049581,0.032487,0.047835,0.031888,0.047388,0.030621,0.049797,0.031843,0.049026
81,90,2,600,0.011642,0.084617,0.021815,0.041045,0.418705,0.079635,0.370436,0.079704,0.049335,0.083415,0.050022,0.080506,0.050083,0.077742,0.049906,0.078418,0.049756,0.082683,0.054009,0.087155
101,90,2,600,0.014978,0.122602,0.025486,0.060262,0.560551,0.120314,0.542056,0.123715,0.073232,0.122923,0.073245,0.125434,0.077382,0.119318,0.076083,0.119026,0.074072,0.122835,0.073394,0.122333
1,90,2,600,0.011624,0.000401,0.016931,0.000238,0.004553,0.000249,0.00338,0.00023,0.002315,0.000653,0.002329,0.000507,0.00338,0.000238,0.004957,0.0002,0.00305,0.000814,0.002501,0.000538
21,90,2,600,0.024444,0.016517,0.030292,0.006262,0.059848,0.007533,0.049367,0.006576,0.014377,0.013359,0.01398,0.011245,0.014942,0.010092,0.020705,0.011715,0.011896,0.017017,0.016333,0.01072
41,90,2,600,0.033133,0.044161,0.035879,0.021048,0.147342,0.026491,0.138681,0.02726,0.026191,0.047917,0.026917,0.042458,0.025043,0.042105,0.027674,0.042456,0.026473,0.045192,0.026372,0.046287
61,90,2,600,0.034194,0.105309,0.037597,0.051169,0.236469,0.050859,0.202175,0.046179,0.051794,0.077606,0.053009,0.077012,0.049941,0.077176,0.052576,0.074076,0.049474,0.077996,0.053505,0.077527
81,90,2,600,0.037845,0.162826,0.047117,0.084856,0.378029,0.07996,0.345349,0.08074,0.082284,0.124228,0.080565,0.126545,0.087326,0.124558,0.087213,0.125615,0.079888,0.126289,0.080089,0.128241
101,90,2,600,0.046079,0.240948,0.053744,0.123102,0.57511,0.12003,0.452337,0.118906,0.121017,0.185558,0.119948,0.186967,0.117195,0.184882,0.122839,0.18545,0.117431,0.191923,0.118175,0.188552
1,90,2,600,0.011095,0.000224,0.015458,0.000235,0.002591,0.000221,0.003191,0.000247,0.002862,0.000995,0.003471,0.000419,0.002404,0.000136,0.002636,0.000201,0.00298,0.000667,0.003671,0.000708
21,90,2,600,0.014847,0.01022,0.016665,0.005369,0.08301,0.007254,0.058007,0.006202,0.007768,0.006682,0.010107,0.006054,0.00958,0.006404,0.009862,0.006552,0.006989,0.010011,0.008127,0.007713
41,90,2,600,0.01647,0.040288,0.023519,0.020194,0.149453,0.02896,0.128629,0.0266,0.016987,0.030552,0.016664,0.0277,0.016261,0.026564,0.01752,0.026705,0.016466,0.028391,0.016378,0.027995
61,90,2,600,0.019267,0.076708,0.027872,0.036002,0.257897,0.048056,0.198306,0.049215,0.030697,0.049253,0.031782,0.04868,0.031402,0.047633,0.032499,0.047643,0.032277,0.052617,0.03151,0.049138
81,90,2,600,0.023876,0.124334,0.033059,0.062514,0.38281,0.084391,0.315912,0.075708,0.048718,0.081727,0.051947,0.07826,0.050549,0.078913,0.051063,0.079333,0.04941,0.080902,0.05235,0.079013
