Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.068069,0.000921,0.06433,0.000415,0.022674,0.000153,0.007084,0.000325,0.004707,0.000251,0.005057,0.000408,0.005729,0.000428,0.004523,0.000155,0.005669,0.000202,0.00555,0.000435,0.004413,0.000283
21,90,2,600,0.170047,0.036137,0.273215,0.015073,0.32404,0.014879,0.055068,0.009008,0.035468,0.009818,0.010634,0.009617,0.00888,0.007638,0.009007,0.007027,0.014692,0.011905,0.012528,0.016336,0.010478,0.007894
41,90,2,600,0.105674,0.137954,0.283154,0.076105,0.302653,0.076794,0.219515,0.034948,0.144335,0.025802,0.020014,0.028823,0.019374,0.028616,0.018333,0.024729,0.023998,0.025782,0.018827,0.028253,0.018594,0.027169
61,90,2,600,0.121635,0.276558,0.289639,0.1605,0.326544,0.155619,0.254906,0.056369,0.206966,0.060555,0.03567,0.055957,0.033661,0.056266,0.034073,0.051403,0.043336,0.054861,0.039933,0.055874,0.033395,0.055326
81,90,2,600,0.097893,0.435254,0.320648,0.239013,0.286482,0.251665,0.432627,0.106906,0.345548,0.090398,0.054724,0.0957,0.054178,0.095039,0.054601,0.0899,0.055254,0.094535,0.068293,0.095846,0.05589,0.095565
101,90,2,600,0.154284,0.724918,0.323155,0.370817,0.224677,0.318016,0.564937,0.165769,0.503148,0.14036,0.083496,0.161213,0.079554,0.151804,0.079366,0.137036,0.10427,0.138229,0.080191,0.166894,0.080086,0.145446
1,90,2,600,0.023479,0.000521,0.030947,0.000204,0.020659,0.000185,0.00459,0.000189,0.004282,0.000197,0.00655,0.001455,0.007047,0.00107,0.00667,0.000259,0.005884,0.000208,0.007158,0.001667,0.007215,0.001386
21,90,2,600,0.564196,0.066825,1.84025,0.039992,1.24649,0.034815,0.052108,0.010265,0.039434,0.008716,0.008028,0.008665,0.008609,0.008355,0.007525,0.0069,0.009698,0.007403,0.007806,0.008891,0.008722,0.008557
41,90,2,600,0.505878,0.237757,1.78865,0.140465,1.86884,0.135515,0.168993,0.027854,0.136733,0.027246,0.018323,0.027642,0.019318,0.027156,0.023483,0.032124,0.019472,0.02518,0.018038,0.029603,0.018423,0.031751
61,90,2,600,0.561107,0.505872,1.26049,0.282269,1.49687,0.271888,0.203227,0.055373,0.184402,0.054508,0.033722,0.056966,0.055501,0.060502,0.040746,0.05642,0.035169,0.053189,0.034178,0.067022,0.034292,0.069655
81,90,2,600,0.582933,0.880511,1.28385,0.470416,1.93634,0.458584,0.274148,0.092977,0.252335,0.094629,0.057331,0.10835,0.068134,0.132219,0.055647,0.09229,0.056331,0.091277,0.055026,0.09829,0.058931,0.096932
101,90,2,600,0.601375,1.37341,1.51599,0.694721,2.38208,0.74997,0.403512,0.14375,0.362912,0.14335,0.082038,0.151606,0.081335,0.146583,0.086876,0.141271,0.081377,0.139598,0.080259,0.147348,0.090398,0.146775
1,90,2,600,0.013148,0.000302,0.015765,0.000199,0.016012,0.000165,0.005306,0.000239,0.004905,0.000278,0.004622,0.001312,0.004319,0.00084,0.004191,0.000232,0.006358,0.000221,0.004249,0.001379,0.004814,0.000991
21,90,2,600,0.359249,0.059425,0.894332,0.032333,1.22136,0.035673,0.050118,0.007523,0.0307,0.007627,0.00823,0.010219,0.008327,0.007888,0.009192,0.007255,0.008932,0.00661,0.008134,0.009669,0.008317,0.007963
41,90,2,600,0.37281,0.211072,0.919828,0.103175,0.896623,0.109769,0.120171,0.028221,0.099862,0.027106,0.018677,0.0286,0.019465,0.028956,0.018755,0.026178,0.019416,0.0255,0.019032,0.028238,0.019256,0.028488
61,90,2,600,0.293544,0.404402,0.936609,0.20673,1.17058,0.229561,0.211469,0.057163,0.185229,0.054621,0.045661,0.075862,0.035313,0.065885,0.034251,0.05349,0.035535,0.053647,0.034517,0.058438,0.034178,0.057541
