Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.125002,0.000502,0.147076,0.000303,0.154108,0.000203,0.039121,0.001762,0.035885,0.001761,0.118371,0.00456,0.151971,0.003881,0.18842,0.000464,0.069296,0.000382,0.055129,0.002589,0.061244,0.002852
21,90,2,600,0.88761,0.05283,1.61389,0.032238,2.04881,0.030649,0.263922,0.034426,0.34177,0.025298,0.064209,0.033222,0.096529,0.0303,0.117655,0.00945,0.094222,0.010039,0.107155,0.031368,0.109853,0.03501
41,90,2,600,1.5607,0.19171,0.929018,0.073798,1.31962,0.072377,0.641373,0.060841,0.572535,0.069266,0.046355,0.068602,0.04395,0.073597,0.042692,0.024754,0.06043,0.024212,0.042298,0.068099,0.04266,0.064597
61,90,2,600,0.7123,0.305564,1.14407,0.171201,1.34378,0.167788,1.03892,0.130752,1.14866,0.131977,0.06422,0.141061,0.11471,0.133899,0.058199,0.051814,0.065008,0.052715,0.056919,0.127259,0.06203,0.112497
81,90,2,600,0.758622,0.499129,0.907305,0.242126,0.850609,0.205196,2.52246,0.190747,2.06815,0.227238,0.079757,0.214337,0.079894,0.224667,0.077255,0.08968,0.083079,0.089441,0.07691,0.176078,0.077492,0.176467
101,90,2,600,0.817767,0.765651,0.903259,0.41357,0.977685,0.352153,4.06053,0.287213,3.19479,0.314064,0.107031,0.281612,0.104998,0.298132,0.102433,0.135881,0.10727,0.135974,0.102198,0.272208,0.103615,0.255841
1,90,2,600,0.098031,0.000483,0.104503,0.000263,0.096232,0.000151,0.032971,0.002541,0.028493,0.001878,0.047488,0.003574,0.054313,0.003232,0.065152,0.00043,0.053623,0.000325,0.056123,0.00249,0.048034,0.003103
21,90,2,600,0.668342,0.040873,0.517041,0.016084,0.823998,0.017545,0.181237,0.033821,0.164428,0.02443,0.048053,0.0294,0.033872,0.023241,0.031802,0.008141,0.039473,0.007899,0.036971,0.02143,0.03376,0.021387
41,90,2,600,0.71008,0.128263,0.809274,0.071081,0.864138,0.060934,0.564975,0.072441,0.511198,0.062494,0.049186,0.074587,0.047445,0.068556,0.041788,0.024834,0.048644,0.02495,0.041861,0.077166,0.045602,0.071045
61,90,2,600,0.5486,0.237452,1.21125,0.177047,0.64497,0.10667,1.06697,0.139721,1.04593,0.13554,0.065235,0.140327,0.059141,0.129709,0.057227,0.052287,0.06003,0.051446,0.058224,0.141279,0.056857,0.141228
