Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUl, time_subproblem_BAUl, time_master_BAUe, time_subproblem_BAUe, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUl, time_subproblem_KCUl, time_master_KCUl, time_subproblem_KCUe, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.136058,0.000442,0.148924,0.000274,0.175324,0.000269,0.127406,0.000211,0.116074,0.000189,0.042242,0.002339,0.036003,0.001763,0.081921,0.00299,0.056211,0.003086,0.1581,0.000378,0.066921,0.000354,0.05166,0.000278,0.053464,0.002837,0.056717,0.00291
21,90,2,600,0.651239,0.043922,0.98374,0.028883,0.642602,0.02598,0.535056,0.020735,1.50875,0.022307,0.208964,0.033831,0.203557,0.021783,0.040313,0.020453,0.039389,0.022901,0.039797,0.00714,0.035696,0.008008,0.04787,0.008205,0.036674,0.028456,0.040685,0.023418
41,90,2,600,0.674551,0.144021,0.73361,0.067737,0.673679,0.078741,0.781429,0.088021,1.2748,0.078918,0.622608,0.084394,0.578521,0.067313,0.046956,0.069614,0.043857,0.075607,0.044286,0.025565,0.049423,0.024781,0.053205,0.024769,0.042429,0.075065,0.042579,0.075771
61,90,2,600,0.632776,0.296996,0.880563,0.152589,0.623648,0.154052,0.772115,0.172082,1.24252,0.158382,1.06112,0.128744,1.15246,0.141629,0.060799,0.131533,0.060257,0.14184,0.057622,0.050752,0.057814,0.051499,0.065636,0.050767,0.056774,0.119391,0.057088,0.123313
81,90,2,600,0.767346,0.497601,0.91502,0.229581,0.764738,0.256585,0.709041,0.262218,0.870517,0.206308,2.566,0.231028,2.05038,0.211866,0.080879,0.222855,0.08063,0.214264,0.077176,0.088189,0.07742,0.087875,0.08509,0.08733,0.078548,0.226282,0.078396,0.191213
101,90,2,600,0.820155,0.766518,0.916663,0.395481,0.821413,0.390035,0.63575,0.386838,0.977813,0.348457,4.14627,0.309117,3.21233,0.324898,0.122058,0.309061,0.110861,0.299117,0.105927,0.137669,0.109798,0.139325,0.110814,0.138092,0.105565,0.341156,0.108202,0.320113
1,90,2,600,0.175252,0.00054,0.17496,0.000323,0.102414,0.000205,0.117132,0.000273,0.108271,0.000147,0.032878,0.002588,0.032305,0.001792,0.048719,0.003087,0.051833,0.002557,0.078117,0.000435,0.078772,0.000433,0.050966,0.000232,0.050764,0.002734,0.060261,0.002881
21,90,2,600,0.672103,0.041122,0.516315,0.016799,0.672374,0.022045,0.560598,0.019585,0.852051,0.017329,0.173051,0.028483,0.16658,0.023581,0.036761,0.030333,0.03515,0.029927,0.035783,0.007389,0.034984,0.007932,0.038712,0.008505,0.035932,0.029533,0.033867,0.02735
41,90,2,600,0.712063,0.128062,0.806788,0.07163,0.724882,0.07142,0.502666,0.062107,0.902402,0.065314,0.588958,0.087237,0.520188,0.072136,0.049754,0.067608,0.04691,0.060363,0.042913,0.024814,0.046727,0.025322,0.048231,0.024916,0.041551,0.05746,0.041446,0.073495
61,90,2,600,0.555598,0.240866,1.22823,0.174376,0.561385,0.129573,0.500024,0.111094,0.665905,0.113408,1.09567,0.123361,1.06259,0.122548,0.068788,0.12449,0.058833,0.134996,0.05818,0.051222,0.058036,0.052549,0.060626,0.052229,0.063634,0.121185,0.058458,0.127366
81,90,2,600,0.920221,0.505655,1.02189,0.258275,0.914728,0.262352,0.48538,0.178578,0.647623,0.182979,2.08278,0.228654,1.72302,0.209662,0.081924,0.172904,0.078534,0.212399,0.077283,0.089439,0.077047,0.089392,0.084582,0.089429,0.077337,0.231702,0.077148,0.200352
101,90,2,600,0.67747,0.683928,0.647653,0.309218,0.68419,0.35398,1.31877,0.436308,1.01991,0.315363,3.08159,0.311789,2.29609,0.324067,0.115854,0.317668,0.110228,0.333267,0.103776,0.136885,0.102782,0.135332,0.114622,0.134766,0.103861,0.289521,0.104077,0.267668
1,90,2,600,0.064248,0.000299,0.068441,0.000226,0.066884,0.000142,0.06156,0.000229,0.067281,0.000171,0.026412,0.002602,0.025032,0.001714,0.025174,0.002557,0.025116,0.002301,0.025086,0.000166,0.029667,0.000137,0.026677,0.000139,0.026845,0.002481,0.027179,0.002106
21,90,2,600,0.064546,0.012968,0.072431,0.006931,0.067975,0.007011,0.526964,0.021383,0.081556,0.007249,0.197614,0.025704,0.206963,0.022583,0.030583,0.030345,0.030171,0.021372,0.030621,0.007145,0.293564,0.047785,0.036591,0.007675,0.029567,0.024589,0.03608,0.027436
41,90,2,600,0.072214,0.042751,0.076265,0.023317,0.063432,0.021847,0.53391,0.071009,0.119313,0.022943,1.23675,0.067203,0.750417,0.063064,0.040425,0.066568,0.039405,0.071584,0.040407,0.024817,0.209655,0.093516,0.04766,0.025692,0.040165,0.080009,0.040105,0.056502
61,90,2,600,0.061081,0.09284,0.070699,0.046945,0.066796,0.048614,0.594035,0.139932,0.092845,0.045623,2.41035,0.148169,1.47967,0.150706,0.055894,0.125697,0.055626,0.135696,0.055718,0.051035,0.432585,0.285282,0.060515,0.05207,0.056675,0.143683,0.053769,0.133593
81,90,2,600,0.162322,0.249199,0.187253,0.127696,0.159918,0.127664,0.231639,0.154524,0.105162,0.075768,4.58954,0.210447,6.83378,0.238616,0.203731,0.458062,0.122615,0.348134,0.157297,0.188845,0.236309,0.238343,0.138694,0.13821,0.155948,0.432314,0.119195,0.316908
101,90,2,600,0.153191,0.380685,0.175225,0.192869,0.151947,0.194134,0.238387,0.229519,0.084389,0.115791,6.79825,0.293866,6.38433,0.307599,0.214169,0.660503,0.155675,0.480449,0.206732,0.290909,0.30194,0.36564,0.179823,0.211688,0.206721,0.611475,0.15729,0.453029
1,90,2,600,0.114356,0.000404,0.123939,0.000261,0.107123,0.000233,0.104964,0.000221,0.083923,0.000166,0.048961,0.003361,0.04275,0.003034,0.047303,0.005715,0.054457,0.00479,0.047879,0.000491,0.086421,0.00034,0.041787,0.000303,0.054469,0.005565,0.054723,0.003527
21,90,2,600,2.62189,0.075597,2.90607,0.036813,2.70732,0.035627,2.41107,0.035946,4.22954,0.03233,0.178955,0.029455,0.214579,0.023688,0.034875,0.02916,0.040528,0.023341,0.045151,0.007602,0.034185,0.007597,0.047971,0.007704,0.03174,0.031954,0.035718,0.023223
41,90,2,600,2.4932,0.230421,3.04913,0.124584,2.45068,0.122973,2.57363,0.120333,5.04096,0.125633,0.376199,0.084399,0.362404,0.07521,0.043066,0.074746,0.045378,0.074333,0.04053,0.025179,0.042874,0.02435,0.057615,0.024415,0.041196,0.07526,0.040981,0.073289
61,90,2,600,2.40974,0.487653,2.71949,0.2584,2.45101,0.26631,2.46107,0.242854,4.13505,0.239481,0.851864,0.137208,0.710635,0.143729,0.057231,0.138429,0.063189,0.127493,0.056926,0.051244,0.05737,0.051649,0.065018,0.050692,0.055725,0.137202,0.05628,0.12887
