Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_2.txt,1,0,0.159047,0.001626,0.025131,0.001011,0.032054,0.082124
toy_instances/toy_instance_47.txt,1,0,0.051009,0.000694,0.008694,0.000308,0.008696,0.011185
toy_instances/toy_instance_7.txt,1,0,0.055403,0.000653,0.008169,0.000311,0.013749,0.053657
toy_instances/toy_instance_13.txt,1,0,0.026731,0.000549,0.010687,0.000498,0.009683,0.041521
toy_instances/toy_instance_20.txt,1,0,0.011093,0.000302,0.008614,0.000371,0.005341,0.027578
toy_instances/toy_instance_3.txt,1,0,0.012387,0.000325,0.010022,0.000331,0.006026,0.045657
toy_instances/toy_instance_16.txt,1,0,0.03222,0.000309,0.019221,0.000301,0.01163,0.04277
toy_instances/toy_instance_29.txt,1,0,0.023345,0.000443,0.005426,0.000284,0.005311,0.024634
toy_instances/toy_instance_37.txt,1,0,0.014036,0.00029,0.008599,0.000309,0.005364,0.025461
toy_instances/toy_instance_5.txt,1,0,0.042096,0.000488,0.01441,0.000611,0.011389,0.066424
toy_instances/toy_instance_11.txt,1,0,0.012412,0.000312,0.012162,0.000293,0.011473,0.051815
toy_instances/toy_instance_34.txt,1,0,0.057464,0.000468,0.017637,0.000641,0.018249,0.042102
toy_instances/toy_instance_41.txt,1,0,0.067006,0.000638,0.009292,0.000308,0.007235,0.011157
toy_instances/toy_instance_48.txt,1,0,0.01294,0.000435,0.009981,0.000324,0.005585,0.031814
toy_instances/toy_instance_19.txt,1,0,0.042458,0.000666,0.007164,0.000297,0.007291,0.011994
toy_instances/toy_instance_27.txt,1,0,0.011284,0.000412,0.00796,0.000306,0.00717,0.027645
toy_instances/toy_instance_22.txt,1,0,0.016585,0.00034,0.010366,0.000318,0.006533,0.016024
toy_instances/toy_instance_39.txt,1,0,0.101353,0.000681,0.022974,0.000296,0.025335,0.077018
toy_instances/toy_instance_23.txt,1,0,0.036751,0.005076,0.016247,0.000317,0.010514,0.051306
toy_instances/toy_instance_38.txt,1,0,0.058834,0.000508,0.038195,0.008116,0.025711,0.106257
toy_instances/toy_instance_8.txt,1,0,0.037551,0.000382,0.03498,0.000331,0.021403,0.079042
toy_instances/toy_instance_28.txt,1,0,0.035394,0.000532,0.016545,0.000468,0.012118,0.050994
